  crm_accounts  ·  200 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
account_id,name,industry,country,annual_revenue,website,phone,city,created_at,updated_at
ACC0001,Leoni Tunisie,Industrie,Tunisie,18034754.42,https://www.leonitunisie.tn,+216 52 142 100,Tunis,2021-04-24,2024-05-14
ACC0002,Microsoft Tunisie,Technology,Tunisie,87160511.97,https://www.microsofttunis.tn,+216 21 535 485,Ariana,2019-03-28,2024-07-08
ACC0003,Attijari Bank,Finance,Tunisie,46775102.85,https://www.attijaribank.tn,+216 53 773 493,Tunis,2018-07-29,2022-07-09
ACC0004,STB Banque,Finance,Tunisie,80874038.19,https://www.stbbanque.tn,+216 24 550 907,Tunis,2020-02-15,2022-06-11
ACC0005,Talan France,Consulting,France,64653834.32,https://www.talanfrance.tn,+216 26 956 234,Monastir,2018-06-13,2023-04-22
ACC0006,CNAM,Secteur Public,Tunisie,9487057.8,https://www.cnam.tn,+216 98 100 998,Sousse,2021-10-04,2023-07-01
ACC0007,GCT,Chimie,Tunisie,6181718.81,https://www.gct.tn,+216 22 149 503,Sfax,2020-02-17,2023-07-07
ACC0008,Carthage Cement,Construction,Tunisie,5297900,https://www.carthagecement.tn,+216 22 430 323,Monastir,2020-04-01,2023-07-03
ACC0009,SNCFT,Transport,Tunisie,134977177.97,https://www.sncft.tn,+216 55 777 623,Monastir,2019-06-27,2022-10-13
ACC0010,BNA Banque,Finance,Tunisie,42066693.49,https://www.bnabanque.tn,+216 23 628 361,Monastir,2019-03-26,2022-10-11
ACC0011,Sfax Cables,Industrie,Tunisie,3025171.55,https://www.sfaxcables.tn,+216 53 785 241,Sousse,2020-02-28,2024-02-21
ACC0012,Total Energies TN,Energie,Tunisie,95621362.31,https://www.totalenergiest.tn,+216 20 557 586,Nabeul,2022-04-24,2023-11-28
ACC0013,Poulina Group,Industrie,Tunisie,101770179.01,https://www.poulinagroup.tn,+216 25 567 199,Tunis,2022-04-10,2023-01-01
ACC0014,UIB Banque,Finance,Tunisie,8556606.27,https://www.uibbanque.tn,+216 50 924 272,Monastir,2022-04-11,2022-11-27
ACC0015,Attijari Bank,Finance,Tunisie,11967560.18,https://www.attijaribank.tn,+216 95 501 294,Monastir,2019-05-06,2022-04-29
ACC0016,Yazaki Tunisie,Industrie,Tunisie,52765189.02,https://www.yazakitunisie.tn,+216 53 127 272,Sousse,2018-09-20,2024-08-31
ACC0017,Talan Maroc,Consulting,Maroc,37623038.41,https://www.talanmaroc.tn,+216 90 900 158,Tunis,2020-03-28,2024-02-04
ACC0018,Ministere de l Education,Secteur Public,Tunisie,141163195.01,https://www.ministeredeled.tn,+216 23 963 642,Nabeul,2021-04-20,2023-03-28
ACC0019,Sfax Cables,Industrie,Tunisie,47488497.96,https://www.sfaxcables.tn,+216 20 141 256,Sousse,2019-05-03,2023-07-25
ACC0020,Microsoft Tunisie,Technology,Tunisie,45627150.97,https://www.microsofttunis.tn,+216 25 883 483,Tunis,2022-07-12,2024-04-13
ACC0021,SNCFT,Transport,Tunisie,15605884.22,https://www.sncft.tn,+216 90 823 380,Sfax,2018-05-05,2024-04-04
ACC0022,Amen Bank,Finance,Tunisie,102564186.48,https://www.amenbank.tn,+216 26 386 596,Monastir,2019-07-25,2024-08-05
ACC0023,SPS Tunisia,Technology,Tunisie,108584442.38,https://www.spstunisia.tn,+216 20 231 672,Sfax,2018-07-11,2023-04-30
ACC0024,Star Assurance,Assurance,Tunisie,62413688.77,https://www.starassurance.tn,+216 53 127 503,Nabeul,2020-03-10,2023-06-28
ACC0025,Delice Danone,Agroalimentaire,Tunisie,101727828.17,https://www.delicedanone.tn,+216 25 648 485,Bizerte,2019-01-24,2023-08-31
