  crm_opportunities  ·  500 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
opportunity_id,account_id,deal_name,stage,amount,probability,close_date,currency,owner_id,created_at,forecast_amount,lost_reason
OPP0001,ACC0162,Transformation Digitale STB,Negotiation,136868.41,75,2024-08-20,TND,EMP0096,2023-08-19,102651.31,
OPP0002,ACC0104,Deploiement Cloud IBM,Prospecting,787586.4,10,2024-01-18,TND,EMP0048,2023-08-25,78758.64,
OPP0003,ACC0172,Migration SAP Delice,Qualification,748282.96,25,2023-02-17,TND,EMP0106,2023-07-28,187070.74,
OPP0004,ACC0148,Migration SAP Ministere,Proposal,1811094.1,50,2025-11-16,TND,EMP0095,2023-05-10,905547.05,
OPP0005,ACC0133,Accompagnement Agile GCT,Closed Won,721017.53,100,2025-10-22,TND,EMP0035,2024-08-11,721017.53,
OPP0006,ACC0173,Implementation CRM Carthage,Closed Won,818526.82,100,2023-05-07,TND,EMP0015,2023-08-20,818526.82,
OPP0007,ACC0056,Audit Urbanisation SI SNCFT,Qualification,2133256.97,25,2024-02-24,TND,EMP0135,2023-06-12,533314.24,
OPP0008,ACC0182,Assistant IA Ministere,Closed Won,119896.64,100,2024-10-07,TND,EMP0037,2022-07-29,119896.64,
OPP0009,ACC0183,Integration ERP STEG,Prospecting,1322339.95,10,2023-07-13,TND,EMP0032,2022-04-09,132233.99,
OPP0010,ACC0062,Cybersecurite UIB,Closed Won,2339907.62,100,2024-02-11,TND,EMP0035,2024-04-09,2339907.62,
OPP0011,ACC0058,Audit Urbanisation SI Orange,Closed Lost,2189202.43,0,2024-10-23,TND,EMP0020,2022-06-21,0,Price too high
OPP0012,ACC0128,Transformation Digitale Carthage,Closed Won,1897021.89,100,2025-10-31,TND,EMP0129,2024-04-13,1897021.89,
OPP0013,ACC0003,Transformation Digitale Ministere,Closed Won,2245986.12,100,2025-12-10,TND,EMP0007,2022-03-02,2245986.12,
OPP0014,ACC0086,Refonte Architecture SI Ministere,Closed Won,766567.05,100,2023-08-07,TND,EMP0135,2022-01-27,766567.05,
OPP0015,ACC0086,Migration SAP Tunisair,Qualification,1444027.55,25,2025-02-11,TND,EMP0073,2022-09-03,361006.89,
OPP0016,ACC0001,Transformation Digitale CNSS,Closed Lost,740828.08,0,2025-04-30,TND,EMP0089,2022-10-02,0,No decision
OPP0017,ACC0080,Digital Twin Leoni,Prospecting,1354445.52,10,2023-06-06,TND,EMP0148,2023-08-11,135444.55,
OPP0018,ACC0058,Implementation CRM CIH,Prospecting,691585.08,10,2024-08-21,TND,EMP0088,2022-02-24,69158.51,
OPP0019,ACC0194,Migration SAP STIIP,Closed Won,1208032.68,100,2023-10-13,TND,EMP0041,2023-03-18,1208032.68,
OPP0020,ACC0038,Data Platform Poulina,Closed Won,2293025.59,100,2025-11-01,TND,EMP0086,2023-11-23,2293025.59,
OPP0021,ACC0024,Cybersecurite Talan,Negotiation,1412068.43,75,2023-06-07,TND,EMP0076,2022-09-24,1059051.32,
OPP0022,ACC0192,Implementation CRM BNA,Closed Won,576650.85,100,2025-04-14,TND,EMP0087,2023-05-02,576650.85,
OPP0023,ACC0110,Accompagnement Agile Attijari,Negotiation,309913.85,75,2025-03-20,TND,EMP0025,2022-08-27,232435.39,
OPP0024,ACC0110,Assistant IA GCT,Closed Lost,1120141.76,0,2023-09-21,TND,EMP0015,2024-12-01,0,No budget
OPP0025,ACC0100,Audit Urbanisation SI CNSS,Qualification,2260928.4,25,2025-01-09,TND,EMP0007,2024-03-02,565232.1,
OPP0026,ACC0019,Migration SAP Yazaki,Qualification,1246320.78,25,2025-07-22,TND,EMP0045,2023-03-24,311580.2,
OPP0027,ACC0092,Integration ERP Leoni,Proposal,882785.21,50,2024-11-28,TND,EMP0047,2024-06-12,441392.6,
OPP0028,ACC0125,Refonte Architecture SI Delice,Closed Won,2413872.12,100,2023-08-11,TND,EMP0037,2023-03-08,2413872.12,
OPP0029,ACC0075,Digital Twin BH,Closed Won,2461915.5,100,2024-06-24,TND,EMP0142,2022-01-11,2461915.5,
OPP0030,ACC0200,Data Platform Star,Closed Won,2238967.63,100,2025-07-05,TND,EMP0123,2024-12-18,2238967.63,
OPP0031,ACC0012,Assistant IA Microsoft,Qualification,1319727.36,25,2025-04-14,TND,EMP0032,2022-04-20,329931.84,
OPP0032,ACC0116,Digital Twin IBM,Prospecting,551187.3,10,2025-01-28,TND,EMP0145,2022-05-13,55118.73,
OPP0033,ACC0147,Accompagnement Agile Orange,Proposal,743390.57,50,2024-08-08,TND,EMP0116,2023-06-07,371695.28,
OPP0034,ACC0104,Audit Urbanisation SI SNCFT,Closed Won,530263.9,100,2023-12-06,TND,EMP0076,2024-07-23,530263.9,
OPP0035,ACC0076,Migration SAP Yazaki,Prospecting,1640801.99,10,2025-12-05,TND,EMP0146,2023-05-24,164080.2,
OPP0036,ACC0145,Cybersecurite Carthage,Qualification,1386136.15,25,2024-11-07,TND,EMP0129,2023-09-27,346534.04,
