  crm_revenue_history  ·  2880 lignes  ·  8 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
revenue_id,account_id,year_month,revenue,recurring_revenue,new_revenue,currency,source
REV000001,ACC0086,2022-01,18217308.52,11605818.38,4732599.26,EUR,Consulting
REV000002,ACC0086,2022-02,19385815.1,10210534.47,5020702.55,EUR,Service
REV000003,ACC0086,2022-03,21877698.21,11103046.09,2360599.92,EUR,Product
REV000004,ACC0086,2022-04,21224245.1,12476511.36,3028357.74,EUR,Product
REV000005,ACC0086,2022-05,20153367.14,15068164.38,1685168.03,EUR,Product
REV000006,ACC0086,2022-06,19312611.33,14228653.22,2811537.19,EUR,Product
REV000007,ACC0086,2022-07,19176544.57,9947080.08,5585602.68,EUR,Consulting
REV000008,ACC0086,2022-08,19489461.96,10035294.43,2923293.84,EUR,Service
REV000009,ACC0086,2022-09,19889594.37,17291765.74,4715635.36,EUR,Maintenance
REV000010,ACC0086,2022-10,23564156.75,19985311.73,3481146.53,EUR,Product
REV000011,ACC0086,2022-11,22984758.27,16325812.49,6547167.88,EUR,Product
REV000012,ACC0086,2022-12,22600645.02,12868483.19,2663355.52,EUR,Product
REV000013,ACC0086,2023-01,25718069.43,21357955.05,5523179.04,EUR,Consulting
REV000014,ACC0086,2023-02,27843406.18,23581657.46,2772001.74,EUR,Service
REV000015,ACC0086,2023-03,28498198.77,14390801.63,8099591.31,EUR,Service
REV000016,ACC0086,2023-04,30071903.77,20271744.95,2535188.51,EUR,Product
REV000017,ACC0086,2023-05,30709409.34,16572538.87,4214605.78,EUR,Consulting
REV000018,ACC0086,2023-06,27249062.66,15767696.23,2579649.11,EUR,Service
REV000019,ACC0086,2023-07,31770261.48,27255830.34,5745325.34,EUR,Service
REV000020,ACC0086,2023-08,22118033.23,11338996.2,5853830.88,EUR,Product
REV000021,ACC0086,2023-09,28674118.81,17216031.08,3529192.54,EUR,Service
REV000022,ACC0086,2023-10,29555958.96,19844661.52,1991047.81,EUR,Service
REV000023,ACC0086,2023-11,31020382.38,19731207.51,5518503.2,EUR,Service
REV000024,ACC0086,2023-12,39086145.89,27272972.1,7968646.79,EUR,Product
REV000025,ACC0086,2024-01,37488540.31,23239592,3587204.55,EUR,Consulting
REV000026,ACC0086,2024-02,40129802.7,25003314.25,9746481.96,EUR,Product
REV000027,ACC0086,2024-03,44949911.34,31396798.47,4708776.23,EUR,Service
REV000028,ACC0086,2024-04,44309083.49,31033783.65,6521423.98,EUR,Product
REV000029,ACC0086,2024-05,36336837.28,26457179.82,10877734.11,EUR,Product
REV000030,ACC0086,2024-06,44397938.56,28764947.1,4721659.69,EUR,Maintenance
REV000031,ACC0086,2024-07,34785090.09,19296200.52,6604052.93,EUR,Product
REV000032,ACC0086,2024-08,36657216.61,25890518.42,8558930.46,EUR,Product
REV000033,ACC0086,2024-09,35866356,27299131.07,10573875.65,EUR,Product
REV000034,ACC0086,2024-10,37638356.9,23896083.3,10215392.42,EUR,Service
REV000035,ACC0086,2024-11,46845401.85,41104151.16,4384508.01,EUR,Service
REV000036,ACC0086,2024-12,47687340.66,35097241.35,2575157.45,EUR,Maintenance
REV000037,ACC0163,2022-01,30275202.61,17806354.43,5552703.16,EUR,Product
REV000038,ACC0163,2022-02,28353217.47,23776213.95,5919379.25,EUR,Maintenance
REV000039,ACC0163,2022-03,32135245.51,19841586.21,5267052.67,EUR,Consulting
REV000040,ACC0163,2022-04,29129258.15,19889881.92,4341565.14,EUR,Service
REV000041,ACC0163,2022-05,29765106.85,21338393.25,4847041.26,EUR,Maintenance
REV000042,ACC0163,2022-06,31239252.72,18823614.28,4795958.19,EUR,Service
REV000043,ACC0163,2022-07,23186247.63,17894557.86,3406636.22,EUR,Product
REV000044,ACC0163,2022-08,21921155.34,19419299.89,1464023.88,EUR,Maintenance
REV000045,ACC0163,2022-09,23988435.92,20459910.16,1721937.43,EUR,Service
REV000046,ACC0163,2022-10,23325146.68,11975672.1,1515029.32,EUR,Service
REV000047,ACC0163,2022-11,27903399.62,24270408.35,2559698.57,EUR,Maintenance
REV000048,ACC0163,2022-12,33972172.74,21531855.28,7622542.84,EUR,Service
REV000049,ACC0163,2023-01,34036014.8,28421814.04,4978267.03,EUR,Product
REV000050,ACC0163,2023-02,36322391.31,30980129.4,2118196.52,EUR,Consulting
REV000051,ACC0163,2023-03,40312067.77,23830779.08,4514736.46,EUR,Product
REV000052,ACC0163,2023-04,33989831.72,19867383.32,5067527.41,EUR,Service
REV000053,ACC0163,2023-05,37426212.09,28681531.3,2079523.56,EUR,Service
REV000054,ACC0163,2023-06,32140816.34,17616288.5,9104014.46,EUR,Product
REV000055,ACC0163,2023-07,26723280.55,15322167.26,4077388.81,EUR,Consulting
REV000056,ACC0163,2023-08,33301934.88,26989240.39,6779511.03,EUR,Maintenance
REV000057,ACC0163,2023-09,28261453.38,19241776.19,5984664.62,EUR,Service
REV000058,ACC0163,2023-10,32101541.75,24734273.61,8092302.42,EUR,Product
REV000059,ACC0163,2023-11,38192182.92,26287346.38,3869309.24,EUR,Service
REV000060,ACC0163,2023-12,35176996.38,27387058.73,7858536.7,EUR,Consulting
REV000061,ACC0163,2024-01,45941732.56,32227482.74,7828217.01,EUR,Service
REV000062,ACC0163,2024-02,42912547.67,38522712.03,5607091.29,EUR,Product
REV000063,ACC0163,2024-03,41392799.1,31802015.95,5201867.35,EUR,Product
REV000064,ACC0163,2024-04,46942854.76,24573320.85,9950848.91,EUR,Service
REV000065,ACC0163,2024-05,38181960.28,30774572,9209892.9,EUR,Service
REV000066,ACC0163,2024-06,36212633.86,18537095.86,5348191,EUR,Product
REV000067,ACC0163,2024-07,40784875.1,21390724.86,2750207.12,EUR,Maintenance
REV000068,ACC0163,2024-08,29690527.97,25490072.87,1594604.28,EUR,Product
REV000069,ACC0163,2024-09,32471646.33,26751239.82,6342965.3,EUR,Maintenance
REV000070,ACC0163,2024-10,33202977.9,25538454.32,6363768.67,EUR,Service
REV000071,ACC0163,2024-11,40021515.36,22567944.47,3201701.56,EUR,Product
REV000072,ACC0163,2024-12,41481917.49,33508502.08,10086483.94,EUR,Product
REV000073,ACC0129,2022-01,31711699.32,25211279.6,8895567.51,EUR,Service
REV000074,ACC0129,2022-02,42221976.36,25542852.11,6388450.39,EUR,Product
REV000075,ACC0129,2022-03,38572407.03,19752266.57,8852013.5,EUR,Service
REV000076,ACC0129,2022-04,37984144.08,33767541.66,2726293.3,EUR,Maintenance
REV000077,ACC0129,2022-05,33242336.45,29354861.63,4175959.6,EUR,Consulting
REV000078,ACC0129,2022-06,33771682.42,20699028.66,8232585.67,EUR,Service
REV000079,ACC0129,2022-07,30885918.31,20613839.96,1751108.45,EUR,Service
REV000080,ACC0129,2022-08,30271319.24,25058913.23,4837275.12,EUR,Product
REV000081,ACC0129,2022-09,30608767.26,18468883.85,6177294.4,EUR,Product
REV000082,ACC0129,2022-10,29695936.05,25686542.6,6997098.61,EUR,Product
REV000083,ACC0129,2022-11,29393623.69,23942278.63,7434551.74,EUR,Maintenance
REV000084,ACC0129,2022-12,32110383.63,26613420.44,2210355.87,EUR,Maintenance
REV000085,ACC0129,2023-01,29182742.59,15894626.4,4898877.65,EUR,Consulting
REV000086,ACC0129,2023-02,38261804.16,33729282.65,4506086.04,EUR,Product
REV000087,ACC0129,2023-03,34604611.93,18878861.36,9369442.57,EUR,Service
REV000088,ACC0129,2023-04,36320745.63,31542948.8,2750898.3,EUR,Maintenance
REV000089,ACC0129,2023-05,28099046.12,16888625.37,6830869.66,EUR,Consulting
REV000090,ACC0129,2023-06,25987126.66,19792304.45,1904555.07,EUR,Product
REV000091,ACC0129,2023-07,22370911.21,19592286.43,5451291.47,EUR,Product
REV000092,ACC0129,2023-08,26702057.48,15018048.02,5546089.18,EUR,Product
REV000093,ACC0129,2023-09,24173669.35,20594375.67,2439045.19,EUR,Service
REV000094,ACC0129,2023-10,21327816.95,18327028.93,6190077.89,EUR,Product
REV000095,ACC0129,2023-11,24067932.09,13567902.28,2107283.68,EUR,Product
REV000096,ACC0129,2023-12,28766017.05,21876924.05,6978594.14,EUR,Maintenance
REV000097,ACC0129,2024-01,26881715.43,22499429.23,3536618.83,EUR,Consulting
REV000098,ACC0129,2024-02,28572810.79,15969974.43,5054832.79,EUR,Service
REV000099,ACC0129,2024-03,28514554.42,18122471.41,5453029.99,EUR,Service
REV000100,ACC0129,2024-04,26222380.91,13900609.66,4850071.24,EUR,Service
REV000101,ACC0129,2024-05,26581352.38,19588716.34,2075560.2,EUR,Service
REV000102,ACC0129,2024-06,27044758.94,15377547.2,4545195.31,EUR,Service
REV000103,ACC0129,2024-07,19782926.19,10014560.29,1152818.43,EUR,Product
REV000104,ACC0129,2024-08,22582150.81,15412674.53,4717426.15,EUR,Maintenance
REV000105,ACC0129,2024-09,19789959.49,17765568.53,3073772.7,EUR,Maintenance
REV000106,ACC0129,2024-10,20677281.15,12144528.4,5185182.97,EUR,Service
REV000107,ACC0129,2024-11,19765742.54,15029560.21,4160318.32,EUR,Service
REV000108,ACC0129,2024-12,18781704.55,13031144.57,966645.88,EUR,Product
REV000109,ACC0092,2022-01,16578779.22,10247244.6,3572411.69,EUR,Maintenance
REV000110,ACC0092,2022-02,17580516.2,11419846.18,2671455.49,EUR,Product
REV000111,ACC0092,2022-03,21112186,11316340.93,5943257.48,EUR,Consulting
REV000112,ACC0092,2022-04,17991218.58,10309972.95,4990191.39,EUR,Service
REV000113,ACC0092,2022-05,18908725.55,12518098.59,4804529.4,EUR,Maintenance
REV000114,ACC0092,2022-06,17738460.32,14269137.23,890333.95,EUR,Consulting
REV000115,ACC0092,2022-07,18110838.82,11182674.89,2605391.89,EUR,Product
REV000116,ACC0092,2022-08,16372611.47,8461553.16,2271126.02,EUR,Maintenance
REV000117,ACC0092,2022-09,14222363.96,9528496.15,2493294.75,EUR,Product
REV000118,ACC0092,2022-10,15548217.81,10057935.21,4437579.6,EUR,Maintenance
REV000119,ACC0092,2022-11,18160859.31,16133361.34,4874846.64,EUR,Maintenance
REV000120,ACC0092,2022-12,20006350.22,14084636.98,1734901.66,EUR,Service
REV000121,ACC0092,2023-01,26191132.63,20605607.65,4267644.97,EUR,Service
REV000122,ACC0092,2023-02,22705781.27,17822223.58,3468954.49,EUR,Consulting
REV000123,ACC0092,2023-03,25103450.38,22198782.46,2703773.92,EUR,Product
REV000124,ACC0092,2023-04,23578157.71,19102672.85,6897530.7,EUR,Service
REV000125,ACC0092,2023-05,26055485.9,19127928.08,2145329.02,EUR,Service
REV000126,ACC0092,2023-06,21632462.38,18702310.99,5881138.19,EUR,Consulting
REV000127,ACC0092,2023-07,21532880.82,11928255.14,1348484.38,EUR,Product
REV000128,ACC0092,2023-08,20205625.87,11442733.38,3085040.25,EUR,Service
REV000129,ACC0092,2023-09,20520614.03,10351251.38,3165062.99,EUR,Product
REV000130,ACC0092,2023-10,18596932.04,13638297.29,1752392.22,EUR,Consulting
REV000131,ACC0092,2023-11,25922536.79,16869923.89,7681280.09,EUR,Consulting
REV000132,ACC0092,2023-12,30275411.64,17006545.6,8437856.77,EUR,Service
REV000133,ACC0092,2024-01,28877128.21,25427457.63,5401189.6,EUR,Product
REV000134,ACC0092,2024-02,32338499.45,27360457.2,4849297.43,EUR,Service
REV000135,ACC0092,2024-03,29279111.24,22956176.65,4764734.77,EUR,Product
REV000136,ACC0092,2024-04,36378388.71,22570722.11,4065822.03,EUR,Service
REV000137,ACC0092,2024-05,31596743.24,16415844.44,9064529.92,EUR,Maintenance
REV000138,ACC0092,2024-06,35092840.93,18889011.44,3510530.48,EUR,Service
REV000139,ACC0092,2024-07,27121248.17,15617492.98,6539175.79,EUR,Product
REV000140,ACC0092,2024-08,31026750.02,15877392.77,8507572.22,EUR,Product
REV000141,ACC0092,2024-09,28583410.9,14859604.59,8424165.26,EUR,Maintenance
REV000142,ACC0092,2024-10,31330858.6,23397129.49,7417525.63,EUR,Product
REV000143,ACC0092,2024-11,32145986.35,26262106.45,7563880.15,EUR,Maintenance
REV000144,ACC0092,2024-12,39826369.32,31559835.88,7607065.5,EUR,Product
REV000145,ACC0189,2022-01,2008443.63,1168211.43,507898.94,EUR,Service
REV000146,ACC0189,2022-02,2549484.94,1829065.81,211859.18,EUR,Service
REV000147,ACC0189,2022-03,2627311.86,1881308.93,554643.52,EUR,Maintenance
REV000148,ACC0189,2022-04,2249471.67,1831883.63,640999.13,EUR,Product
REV000149,ACC0189,2022-05,2258486.37,1950059.08,298970.82,EUR,Consulting
REV000150,ACC0189,2022-06,1978213.95,1133636.44,265492.94,EUR,Product
REV000151,ACC0189,2022-07,1795690.43,1307426.19,307278.22,EUR,Service
REV000152,ACC0189,2022-08,1514495.01,1134287.25,174552.66,EUR,Consulting
REV000153,ACC0189,2022-09,1494691.45,986902.18,416784.88,EUR,Service
REV000154,ACC0189,2022-10,1888369.63,1640024.09,556595.51,EUR,Product
REV000155,ACC0189,2022-11,1707608.82,1528472.03,243343.47,EUR,Service
REV000156,ACC0189,2022-12,1905303.47,1454799.61,212443.67,EUR,Consulting
REV000157,ACC0189,2023-01,1927592.22,1309660.05,293230.72,EUR,Product
REV000158,ACC0189,2023-02,1836940.17,1637206.54,162080.21,EUR,Maintenance
REV000159,ACC0189,2023-03,2021809.57,1751171.7,425568.31,EUR,Maintenance
REV000160,ACC0189,2023-04,2005753.78,1201774.51,571327.19,EUR,Service
REV000161,ACC0189,2023-05,1859345.6,1019305.14,168906.11,EUR,Product
REV000162,ACC0189,2023-06,1801457.77,1376656.84,232274.8,EUR,Service
REV000163,ACC0189,2023-07,1607046.46,811708.07,279706.69,EUR,Service
REV000164,ACC0189,2023-08,1429912.49,1281532.96,196474.21,EUR,Product
REV000165,ACC0189,2023-09,1372097.71,733337.38,266049.31,EUR,Maintenance
REV000166,ACC0189,2023-10,1483554.13,939698.58,304875.47,EUR,Maintenance
REV000167,ACC0189,2023-11,1476921.27,1091515.85,100055.01,EUR,Product
REV000168,ACC0189,2023-12,1504287.44,776401.73,187385.32,EUR,Product
REV000169,ACC0189,2024-01,1697671.59,1048429.83,507733.88,EUR,Product
REV000170,ACC0189,2024-02,1583930.9,792019.57,186481.57,EUR,Service
REV000171,ACC0189,2024-03,1816516.3,1230821.64,526230.69,EUR,Service
REV000172,ACC0189,2024-04,1774341.9,1587287.28,498148.7,EUR,Consulting
REV000173,ACC0189,2024-05,1669324.47,1296616.55,279793.82,EUR,Service
REV000174,ACC0189,2024-06,1499545.84,1221486.61,311108.88,EUR,Consulting
REV000175,ACC0189,2024-07,1198935.17,929443.87,315719.23,EUR,Consulting
REV000176,ACC0189,2024-08,1377874.38,1218599.6,126233.51,EUR,Service
REV000177,ACC0189,2024-09,1282683.94,819436.62,150069.06,EUR,Service
REV000178,ACC0189,2024-10,1242170.52,1025507.69,235498.26,EUR,Service
REV000179,ACC0189,2024-11,1270931.07,636205.53,173582.73,EUR,Maintenance
REV000180,ACC0189,2024-12,1335432.83,839165.13,345599.27,EUR,Product
REV000181,ACC0135,2022-01,30731240.97,22976575.59,6676952.79,EUR,Product
REV000182,ACC0135,2022-02,35110152.63,18213616.5,6073151.73,EUR,Service
REV000183,ACC0135,2022-03,33918526.59,17645481.56,1791813.28,EUR,Product
REV000184,ACC0135,2022-04,40655668.36,25393243.91,11107011.2,EUR,Product
REV000185,ACC0135,2022-05,38894424.57,23745690.76,2123392.36,EUR,Maintenance
REV000186,ACC0135,2022-06,33249071.05,23885224.25,3143791.69,EUR,Maintenance
REV000187,ACC0135,2022-07,32386182.14,16505729.69,3311536.62,EUR,Service
REV000188,ACC0135,2022-08,34648292.15,27558082.12,2078079.65,EUR,Service
REV000189,ACC0135,2022-09,29455596.09,25512535.12,5478653.72,EUR,Service
REV000190,ACC0135,2022-10,39497255.91,30703162.88,2182635.7,EUR,Service
REV000191,ACC0135,2022-11,37428188.12,26805842.23,3289486.39,EUR,Service
REV000192,ACC0135,2022-12,40506243.06,35982929.38,5895040.98,EUR,Maintenance
REV000193,ACC0135,2023-01,45064850.48,35318116.12,4581367.03,EUR,Product
REV000194,ACC0135,2023-02,51318187.91,28371796.99,3277869.34,EUR,Product
REV000195,ACC0135,2023-03,59608391.86,53300718.42,7450766.62,EUR,Consulting
REV000196,ACC0135,2023-04,48092911.37,25074138.95,11645961.95,EUR,Service
REV000197,ACC0135,2023-05,51638975.61,26698827.19,11874824.64,EUR,Service
REV000198,ACC0135,2023-06,38923521.28,28750171.83,2345397.8,EUR,Maintenance
REV000199,ACC0135,2023-07,47646029.8,26062082.32,10711917.6,EUR,Product
REV000200,ACC0135,2023-08,48385378.64,36370350.03,14262576.73,EUR,Consulting
REV000201,ACC0135,2023-09,39172241.75,20821782.1,3914209.45,EUR,Consulting
REV000202,ACC0135,2023-10,49222479.9,26585257.8,6587023.2,EUR,Product
REV000203,ACC0135,2023-11,54266026.93,34480706.39,3351547.09,EUR,Product
REV000204,ACC0135,2023-12,54127785.83,29646976.38,10744360.07,EUR,Service
REV000205,ACC0135,2024-01,63992935.44,39554509.95,10475992.91,EUR,Maintenance
REV000206,ACC0135,2024-02,69786973.18,43645874.18,13968206.3,EUR,Service
REV000207,ACC0135,2024-03,69303532.5,34846105.17,11736675.42,EUR,Product
REV000208,ACC0135,2024-04,68774288.3,54370462.7,19920128.36,EUR,Product
REV000209,ACC0135,2024-05,63618055.14,45342434.91,17363156.38,EUR,Maintenance
REV000210,ACC0135,2024-06,74358828.09,39556762.74,17673513.78,EUR,Product
REV000211,ACC0135,2024-07,56184578.4,44855471.58,14367439.87,EUR,Service
REV000212,ACC0135,2024-08,58175103.78,38889464.62,14437201.6,EUR,Maintenance
REV000213,ACC0135,2024-09,52820099.16,47491653.43,4387640.47,EUR,Service
REV000214,ACC0135,2024-10,61824931.41,45162321.51,17355016.98,EUR,Service
REV000215,ACC0135,2024-11,75521079.51,67250706.79,6379037.06,EUR,Service
REV000216,ACC0135,2024-12,73950705.16,40813094.7,12685537.46,EUR,Service
REV000217,ACC0136,2022-01,21902663.92,12844439.02,3221124.1,EUR,Service
REV000218,ACC0136,2022-02,23094390.04,15181057.82,1394496.76,EUR,Service
REV000219,ACC0136,2022-03,28738925.74,19358226.72,1497037.09,EUR,Product
REV000220,ACC0136,2022-04,24701922.55,13217801.39,5145950.09,EUR,Product
REV000221,ACC0136,2022-05,20140362.12,10134745.33,3751236.41,EUR,Product
REV000222,ACC0136,2022-06,24144718.03,17793355.22,7173616.76,EUR,Product
REV000223,ACC0136,2022-07,19335084.92,15396759.61,4055991.04,EUR,Product
REV000224,ACC0136,2022-08,21393849.64,13597643.43,4752427.42,EUR,Maintenance
REV000225,ACC0136,2022-09,21239801.57,14528602.32,3032127.36,EUR,Service
REV000226,ACC0136,2022-10,19267402.22,10497758.59,4090793.48,EUR,Product
REV000227,ACC0136,2022-11,20930592.44,13750755.85,1305749.72,EUR,Maintenance
REV000228,ACC0136,2022-12,22657244.43,20092517.59,3108669.54,EUR,Maintenance
REV000229,ACC0136,2023-01,25974684.22,18109515.39,3216157.87,EUR,Service
REV000230,ACC0136,2023-02,29293869.97,21566567.13,2468464.06,EUR,Service
REV000231,ACC0136,2023-03,21876636.53,17476515.25,6358686.72,EUR,Product
REV000232,ACC0136,2023-04,26944256.22,19009654.67,2184880.92,EUR,Product
REV000233,ACC0136,2023-05,28054183.98,20323121.97,6441004.02,EUR,Service
REV000234,ACC0136,2023-06,23510629.81,13743010.5,6384987.6,EUR,Maintenance
REV000235,ACC0136,2023-07,24266857.08,19530831.07,3628725.75,EUR,Service
REV000236,ACC0136,2023-08,23236089.71,17992436.18,2029719.25,EUR,Service
REV000237,ACC0136,2023-09,19608661.89,13687172.01,2524111.9,EUR,Service
REV000238,ACC0136,2023-10,26599328.1,17644811.14,6722049.67,EUR,Maintenance
REV000239,ACC0136,2023-11,23893355.13,14905601.25,3721731.68,EUR,Service
REV000240,ACC0136,2023-12,24425530.69,13719951.2,3795723.64,EUR,Consulting
REV000241,ACC0136,2024-01,31948272.46,16179057.96,3168792.05,EUR,Maintenance
REV000242,ACC0136,2024-02,31889282.61,16291254.08,4579769.97,EUR,Product
REV000243,ACC0136,2024-03,31148870.19,15628858.78,4993312.46,EUR,Maintenance
REV000244,ACC0136,2024-04,29046957.96,20298600.11,2134148.34,EUR,Service
REV000245,ACC0136,2024-05,27740078.81,17718820.01,4438674.12,EUR,Product
REV000246,ACC0136,2024-06,27808717.85,14739213.49,3095770.44,EUR,Service
REV000247,ACC0136,2024-07,25954283.07,17569364.03,3019445.28,EUR,Maintenance
REV000248,ACC0136,2024-08,26530098.14,17142336.56,1970349.41,EUR,Maintenance
REV000249,ACC0136,2024-09,22560950.81,17546974.48,6697861.09,EUR,Service
REV000250,ACC0136,2024-10,26740666.26,14687131.7,7578143.23,EUR,Product
REV000251,ACC0136,2024-11,26638376.4,20170427.12,4826293.37,EUR,Service
REV000252,ACC0136,2024-12,23200558.35,20293337.32,6076298.16,EUR,Service
REV000253,ACC0050,2022-01,16004723.02,10115610.56,4341980.16,EUR,Service
