  erp_customers  ·  200 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
customer_id,account_id,name,country,industry,credit_limit,payment_terms,tax_id,created_at
CUS0001,ACC0001,Leoni Tunisie,Tunisie,Industrie,1519441.48,Net 30,TAX176899644,2021-04-24
CUS0002,ACC0002,Microsoft Tunisie,Tunisie,Technology,4037403.26,Immediate,TAX936590144,2019-03-28
CUS0003,ACC0003,Attijari Bank,Tunisie,Finance,528973.48,Net 90,TAX286955400,2018-07-29
CUS0004,ACC0004,STB Banque,Tunisie,Finance,3149736.85,Net 30,TAX502216455,2020-02-15
CUS0005,ACC0005,Talan France,France,Consulting,968565.69,Net 45,TAX343486230,2018-06-13
CUS0006,ACC0006,CNAM,Tunisie,Secteur Public,607838.51,Immediate,TAX671084899,2021-10-04
CUS0007,ACC0007,GCT,Tunisie,Chimie,3698753.73,Net 60,TAX546309587,2020-02-17
CUS0008,ACC0008,Carthage Cement,Tunisie,Construction,1346562.79,Net 30,TAX368705960,2020-04-01
CUS0009,ACC0009,SNCFT,Tunisie,Transport,1972075.8,Immediate,TAX678368700,2019-06-27
CUS0010,ACC0010,BNA Banque,Tunisie,Finance,4885939.06,Immediate,TAX736895586,2019-03-26
CUS0011,ACC0011,Sfax Cables,Tunisie,Industrie,2577043.4,Immediate,TAX123458559,2020-02-28
CUS0012,ACC0012,Total Energies TN,Tunisie,Energie,1121430.53,Net 45,TAX699934643,2022-04-24
CUS0013,ACC0013,Poulina Group,Tunisie,Industrie,3908078.01,Net 60,TAX103210393,2022-04-10
CUS0014,ACC0014,UIB Banque,Tunisie,Finance,190118.73,Net 45,TAX336104362,2022-04-11
CUS0015,ACC0015,Attijari Bank,Tunisie,Finance,2457785.69,Net 45,TAX787942586,2019-05-06
CUS0016,ACC0016,Yazaki Tunisie,Tunisie,Industrie,1177794.84,Net 60,TAX840984128,2018-09-20
CUS0017,ACC0017,Talan Maroc,Maroc,Consulting,4222549.51,Net 90,TAX719176585,2020-03-28
CUS0018,ACC0018,Ministere de l Education,Tunisie,Secteur Public,4878871.43,Net 60,TAX936943479,2021-04-20
CUS0019,ACC0019,Sfax Cables,Tunisie,Industrie,4776986.62,Net 45,TAX221992963,2019-05-03
CUS0020,ACC0020,Microsoft Tunisie,Tunisie,Technology,3323537.16,Net 60,TAX618138681,2022-07-12
CUS0021,ACC0021,SNCFT,Tunisie,Transport,4678458.79,Immediate,TAX454152858,2018-05-05
CUS0022,ACC0022,Amen Bank,Tunisie,Finance,3011635.07,Net 90,TAX169163934,2019-07-25
CUS0023,ACC0023,SPS Tunisia,Tunisie,Technology,266221,Net 90,TAX153557785,2018-07-11
CUS0024,ACC0024,Star Assurance,Tunisie,Assurance,1916745.85,Net 60,TAX721706639,2020-03-10
CUS0025,ACC0025,Delice Danone,Tunisie,Agroalimentaire,516229.7,Net 45,TAX584969042,2019-01-24
CUS0026,ACC0026,BH Bank,Tunisie,Finance,893177.41,Net 45,TAX268446678,2022-10-13
CUS0027,ACC0027,SOMOCER,Tunisie,Construction,1439790.77,Net 30,TAX656835945,2018-09-03
CUS0028,ACC0028,GCT,Tunisie,Chimie,1003268.75,Net 30,TAX676034101,2019-06-19
CUS0029,ACC0029,CNSS,Tunisie,Secteur Public,615352.91,Net 45,TAX929655319,2019-10-10
CUS0030,ACC0030,BIAT Leasing,Tunisie,Finance,4945062.07,Immediate,TAX800083563,2018-09-29
CUS0031,ACC0031,Delice Danone,Tunisie,Agroalimentaire,314470.15,Immediate,TAX459344678,2018-01-17
CUS0032,ACC0032,SOMOCER,Tunisie,Construction,3401868.67,Net 45,TAX758012585,2019-08-01
CUS0033,ACC0033,Carthage Cement,Tunisie,Construction,3659036.75,Net 45,TAX804555982,2022-08-26
CUS0034,ACC0034,UIB Banque,Tunisie,Finance,1297619.49,Net 45,TAX612243896,2021-02-22
CUS0035,ACC0035,Ooredoo Tunisie,Tunisie,Telecom,4477230.59,Net 45,TAX759600052,2018-09-19
CUS0036,ACC0036,Microsoft Tunisie,Tunisie,Technology,2271538.69,Net 45,TAX161074677,2021-06-25
CUS0037,ACC0037,Ministere de l Education,Tunisie,Secteur Public,1612832.96,Net 60,TAX214305785,2022-07-01
CUS0038,ACC0038,SNCFT,Tunisie,Transport,2477145.99,Net 30,TAX399745070,2019-09-18
CUS0039,ACC0039,Amen Bank,Tunisie,Finance,2754112.05,Immediate,TAX948822372,2020-03-29
CUS0040,ACC0040,Star Assurance,Tunisie,Assurance,1711970.68,Immediate,TAX482194270,2022-02-01
CUS0041,ACC0041,CIH Bank Maroc,Maroc,Finance,2608079.45,Net 30,TAX693663206,2018-01-04
CUS0042,ACC0042,SONEDE,Tunisie,Eau et Assainissement,3118064.72,Net 30,TAX110107303,2022-01-14
CUS0043,ACC0043,SNCFT,Tunisie,Transport,2191709.37,Immediate,TAX326837961,2021-09-23
CUS0044,ACC0044,BH Bank,Tunisie,Finance,3177620.67,Net 90,TAX536349655,2019-08-11
CUS0045,ACC0045,Carthage Cement,Tunisie,Construction,4314774.28,Net 30,TAX538016478,2020-08-27
CUS0046,ACC0046,Ministere des Finances,Tunisie,Secteur Public,1040575.49,Net 30,TAX280563600,2019-04-06
CUS0047,ACC0047,TTS,Tunisie,Technology,3002069.52,Net 90,TAX994215458,2020-04-28
CUS0048,ACC0048,IBM Tunisie,Tunisie,Technology,1794375.54,Net 60,TAX899772748,2022-05-14
CUS0049,ACC0049,Tunisie Telecom,Tunisie,Telecom,4340333.5,Immediate,TAX210977389,2022-06-30
CUS0050,ACC0050,Star Assurance,Tunisie,Assurance,2121834.43,Net 90,TAX753696627,2022-08-29
CUS0051,ACC0051,Ministere de l Education,Tunisie,Secteur Public,2082077.6,Immediate,TAX701889966,2020-09-19
CUS0052,ACC0052,CNSS,Tunisie,Secteur Public,2560227.03,Net 30,TAX716283502,2018-11-05
CUS0053,ACC0053,BIAT,Tunisie,Finance,4203941.99,Net 60,TAX664311165,2018-05-08
CUS0054,ACC0054,Ministere des Finances,Tunisie,Secteur Public,4272080.73,Net 45,TAX796074881,2018-01-13
CUS0055,ACC0055,STB Banque,Tunisie,Finance,2924771.85,Net 45,TAX157500991,2019-03-26
CUS0056,ACC0056,Attijari Bank,Tunisie,Finance,1990221.14,Net 60,TAX849149017,2018-09-19
CUS0057,ACC0057,Orange Tunisie,Tunisie,Telecom,284437.62,Net 60,TAX790418078,2022-11-11
CUS0058,ACC0058,Ministere de l Education,Tunisie,Secteur Public,4125326.02,Immediate,TAX182527518,2022-03-21
CUS0059,ACC0059,Leoni Tunisie,Tunisie,Industrie,2158790.31,Immediate,TAX473725524,2022-05-19
CUS0060,ACC0060,Ministere de l Education,Tunisie,Secteur Public,983199.4,Net 60,TAX223393630,2021-10-03
CUS0061,ACC0061,SPS Tunisia,Tunisie,Technology,1975636.49,Net 60,TAX552680638,2019-09-30
CUS0062,ACC0062,BH Bank,Tunisie,Finance,4608569.86,Net 60,TAX182551138,2021-04-27
CUS0063,ACC0063,OCP Maroc,Maroc,Industrie,2377521.9,Net 45,TAX453715173,2021-09-16
CUS0064,ACC0064,Yazaki Tunisie,Tunisie,Industrie,1375416.34,Net 30,TAX909937390,2021-12-19
CUS0065,ACC0065,Amen Bank,Tunisie,Finance,4247029.38,Net 90,TAX840073450,2022-08-19
CUS0066,ACC0066,Star Assurance,Tunisie,Assurance,3030153.91,Net 30,TAX360567732,2019-11-20
CUS0067,ACC0067,CIH Bank Maroc,Maroc,Finance,2407297.05,Net 60,TAX745723207,2022-12-08
CUS0068,ACC0068,Tunisie Telecom,Tunisie,Telecom,1818422.88,Net 90,TAX498971883,2021-08-15
CUS0069,ACC0069,Ooredoo Tunisie,Tunisie,Telecom,2603648.2,Net 90,TAX640652791,2020-08-27
CUS0070,ACC0070,SNCFT,Tunisie,Transport,1163291.89,Immediate,TAX980821441,2018-09-05
CUS0071,ACC0071,CNSS,Tunisie,Secteur Public,4344495.1,Net 45,TAX729209054,2018-07-25
CUS0072,ACC0072,STEG,Tunisie,Energie,2763385.62,Net 30,TAX264442052,2018-04-22
CUS0073,ACC0073,GCT,Tunisie,Chimie,2435054,Net 90,TAX886535084,2019-11-29
CUS0074,ACC0074,TTS,Tunisie,Technology,1128244.92,Net 60,TAX256229357,2018-11-02
CUS0075,ACC0075,BIAT,Tunisie,Finance,4558341.45,Net 90,TAX213646329,2020-02-19
CUS0076,ACC0076,SPS Tunisia,Tunisie,Technology,2217829.55,Net 90,TAX174882591,2022-04-12
