"  erp_inventory  ·  1,500 lignes  ·  7 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,unit_cost,last_updated
INVI00001,PRD0319,Milan-North,2978,286,17416.96,2023-07-11
INVI00002,PRD0491,Frankfurt-Main,3473,192,38253.33,2024-11-10
INVI00003,PRD0110,Amsterdam-Port,3055,253,38804.14,2024-11-04
INVI00004,PRD0248,New York-NJ,3397,180,2177.66,2024-09-19
INVI00005,PRD0183,Paris-CDG,2470,255,29757.85,2023-04-04
INVI00006,PRD0016,Dubai-Jebel Ali,3419,244,28707.22,2023-10-28
INVI00007,PRD0103,Frankfurt-Main,3880,72,14834.86,2023-12-04
INVI00008,PRD0349,Singapore-Hub,4580,132,30643.03,2023-04-06
INVI00009,PRD0321,Zurich-Center,3742,199,9275.91,2024-02-05
INVI00010,PRD0285,New York-NJ,378,249,37526.42,2024-11-29
INVI00011,PRD0495,Amsterdam-Port,561,221,27205.22,2023-02-06
INVI00012,PRD0269,Zurich-Center,4240,179,21861.94,2024-10-23
INVI00013,PRD0348,Paris-CDG,720,58,14754.78,2024-07-19
INVI00014,PRD0101,Zurich-Center,641,73,4338.91,2023-07-29
INVI00015,PRD0089,Paris-CDG,1325,153,11415.72,2023-02-03
INVI00016,PRD0313,Amsterdam-Port,1944,231,8701,2024-08-07
INVI00017,PRD0222,Amsterdam-Port,4094,200,1721.75,2023-01-03
INVI00018,PRD0341,Amsterdam-Port,4451,193,25458.53,2024-06-15
INVI00019,PRD0087,Frankfurt-Main,4584,186,24605.23,2024-06-24
INVI00020,PRD0153,Madrid-Central,3684,183,3991.6,2024-02-27
INVI00021,PRD0396,Singapore-Hub,3541,153,9953.66,2023-10-07
INVI00022,PRD0451,London-Heathrow,64,189,9318.77,2024-06-08
INVI00023,PRD0359,Frankfurt-Main,1520,125,7470.19,2024-02-19
INVI00024,PRD0223,Madrid-Central,3938,121,5972.99,2024-02-27
INVI00025,PRD0158,Madrid-Central,245,115,18534.74,2024-07-26
INVI00026,PRD0100,London-Heathrow,4054,203,32820.83,2024-02-21
INVI00027,PRD0123,Singapore-Hub,4865,250,26055.17,2024-06-14
INVI00028,PRD0048,Dubai-Jebel Ali,3886,163,32995.06,2023-11-06
INVI00029,PRD0140,Zurich-Center,4640,93,12457.78,2024-06-23
INVI00030,PRD0229,Frankfurt-Main,2506,288,37995.91,2024-01-29
INVI00031,PRD0418,Zurich-Center,1779,253,22770.09,2024-12-21
INVI00032,PRD0172,Amsterdam-Port,752,257,13094.92,2024-03-23
INVI00033,PRD0207,Madrid-Central,1181,100,24609.7,2023-01-11
INVI00034,PRD0483,London-Heathrow,3103,252,31761.16,2023-01-12
INVI00035,PRD0434,Dubai-Jebel Ali,4631,256,15013.75,2024-08-26
INVI00036,PRD0199,New York-NJ,3426,220,39840.07,2024-06-15
INVI00037,PRD0033,Frankfurt-Main,4405,96,33594.49,2024-08-13
INVI00038,PRD0401,London-Heathrow,1990,220,30889,2024-10-07
INVI00039,PRD0500,London-Heathrow,2181,148,22416.19,2023-05-21
INVI00040,PRD0096,Paris-CDG,1855,169,8327.39,2024-05-12
INVI00041,PRD0362,Dubai-Jebel Ali,2210,63,39250.31,2024-11-22
INVI00042,PRD0365,Frankfurt-Main,1669,181,16558.68,2023-11-05
INVI00043,PRD0362,Dubai-Jebel Ali,2676,176,20067.69,2023-02-22
INVI00044,PRD0476,Madrid-Central,2700,133,23373.18,2024-12-03
INVI00045,PRD0410,Milan-North,3681,219,15987.79,2024-11-13
INVI00046,PRD0470,Milan-North,3771,178,15427.21,2024-11-24
INVI00047,PRD0002,Paris-CDG,2888,136,2702.81,2023-05-15
INVI00048,PRD0470,New York-NJ,3923,216,16985.48,2024-10-16
INVI00049,PRD0131,Zurich-Center,2162,104,38725.25,2023-08-18
INVI00050,PRD0085,Singapore-Hub,298,144,16455.25,2023-09-19
INVI00051,PRD0493,New York-NJ,2909,99,35314.76,2023-09-17
INVI00052,PRD0091,Paris-CDG,503,124,6054,2024-12-02
INVI00053,PRD0262,New York-NJ,3629,114,18247.41,2023-04-13
INVI00054,PRD0444,Milan-North,1124,62,9997.42,2023-03-26
INVI00055,PRD0324,Zurich-Center,759,196,38841.03,2023-12-22
INVI00056,PRD0344,Paris-CDG,2787,154,14975.17,2023-04-14
INVI00057,PRD0121,Amsterdam-Port,2593,275,34091.66,2023-11-24
INVI00058,PRD0026,Dubai-Jebel Ali,717,210,10539.19,2023-07-12
INVI00059,PRD0468,London-Heathrow,1522,231,22514.93,2024-05-02
INVI00060,PRD0461,New York-NJ,3364,231,39804.23,2023-07-10
INVI00061,PRD0438,Singapore-Hub,4841,227,28672.25,2023-10-13
INVI00062,PRD0066,Amsterdam-Port,1674,190,3849.63,2024-02-16
INVI00063,PRD0021,Dubai-Jebel Ali,634,238,32942.49,2023-02-14
INVI00064,PRD0020,Milan-North,1237,82,24133.49,2024-06-25
INVI00065,PRD0137,Milan-North,3761,280,33546.94,2023-10-30
INVI00066,PRD0298,New York-NJ,2964,208,23951.95,2023-12-08
INVI00067,PRD0434,London-Heathrow,3875,54,28137.55,2023-12-26
INVI00068,PRD0316,Zurich-Center,3516,74,38299.98,2023-10-24
INVI00069,PRD0111,Milan-North,4127,260,7765.75,2023-11-16
INVI00070,PRD0483,Paris-CDG,3964,172,29268.3,2024-01-11
INVI00071,PRD0064,Amsterdam-Port,328,159,3090.89,2024-09-01
INVI00072,PRD0385,London-Heathrow,1146,77,16070.11,2024-08-24
INVI00073,PRD0234,Madrid-Central,2778,255,37435.78,2024-04-15
INVI00074,PRD0057,Madrid-Central,3661,111,38657.74,2023-06-08
INVI00075,PRD0023,Madrid-Central,2013,71,24391.37,2024-03-30
INVI00076,PRD0145,Amsterdam-Port,712,95,16562.44,2024-02-26
INVI00077,PRD0180,New York-NJ,354,94,8882.12,2024-02-16
INVI00078,PRD0045,New York-NJ,2914,136,20417.5,2024-03-04
INVI00079,PRD0391,London-Heathrow,2052,166,13048.01,2023-12-13
INVI00080,PRD0077,New York-NJ,3742,290,5571.06,2023-02-25
INVI00081,PRD0346,Amsterdam-Port,3319,211,35668.05,2023-02-28
INVI00082,PRD0074,Singapore-Hub,2572,78,328.5,2023-12-31
INVI00083,PRD0463,New York-NJ,4504,174,1685.94,2024-08-15
INVI00084,PRD0002,Milan-North,3787,294,3059.09,2023-03-14
INVI00085,PRD0498,London-Heathrow,681,228,20911.55,2024-01-28
INVI00086,PRD0233,Zurich-Center,1659,257,7225.53,2023-09-04
INVI00087,PRD0187,Amsterdam-Port,4705,255,9200.86,2024-12-13
INVI00088,PRD0471,Amsterdam-Port,136,211,34604.26,2023-10-07
INVI00089,PRD0272,Madrid-Central,4773,229,12800.48,2023-03-25
INVI00090,PRD0446,New York-NJ,2710,171,32711.63,2024-03-28
INVI00091,PRD0298,Madrid-Central,1542,87,34430.23,2024-12-24
INVI00092,PRD0271,Amsterdam-Port,262,87,10870.96,2024-02-10
INVI00093,PRD0350,Madrid-Central,3377,241,21142.26,2023-12-09
INVI00094,PRD0322,Milan-North,904,196,1001.5,2023-02-05
INVI00095,PRD0156,Frankfurt-Main,530,132,28409.59,2024-07-11
INVI00096,PRD0259,Paris-CDG,2589,75,2015.15,2023-08-15
INVI00097,PRD0098,Madrid-Central,3205,248,14613.69,2023-09-11
INVI00098,PRD0115,New York-NJ,1663,245,9539.88,2023-11-20
INVI00099,PRD0247,Milan-North,2479,99,18629.18,2023-02-24
INVI00100,PRD0002,Zurich-Center,4425,280,11286.7,2024-02-20
INVI00101,PRD0395,Madrid-Central,1911,165,37164.46,2023-02-03
INVI00102,PRD0328,London-Heathrow,785,251,18507.64,2023-10-04
INVI00103,PRD0226,Paris-CDG,911,259,7373.77,2024-12-21
INVI00104,PRD0359,Zurich-Center,1389,191,35942.94,2023-08-18
INVI00105,PRD0442,Amsterdam-Port,4631,240,18838.62,2024-04-04
INVI00106,PRD0329,Dubai-Jebel Ali,3064,147,21176.86,2024-04-09
INVI00107,PRD0194,Zurich-Center,3640,145,1491.67,2024-09-10
INVI00108,PRD0049,Singapore-Hub,1939,297,27583.1,2024-07-30
INVI00109,PRD0123,Paris-CDG,566,64,27431.54,2024-01-07
INVI00110,PRD0457,Zurich-Center,687,248,15149.39,2024-07-15
INVI00111,PRD0097,Amsterdam-Port,603,174,23562.54,2024-01-20
INVI00112,PRD0148,Singapore-Hub,228,182,24094.28,2023-09-21
INVI00113,PRD0371,Madrid-Central,353,148,14028.41,2024-10-06
INVI00114,PRD0152,Milan-North,1222,300,29607.23,2024-08-07
INVI00115,PRD0104,Milan-North,3826,55,26564.59,2024-01-27
INVI00116,PRD0443,Milan-North,54,197,10453.17,2023-07-04
INVI00117,PRD0446,Paris-CDG,3841,187,35231.83,2023-11-25
INVI00118,PRD0218,London-Heathrow,1493,165,4444.16,2024-11-08
INVI00119,PRD0420,London-Heathrow,3364,56,30408.28,2024-10-08
INVI00120,PRD0337,New York-NJ,531,81,22453.3,2024-06-08
INVI00121,PRD0441,Paris-CDG,962,56,39594.58,2023-08-14
INVI00122,PRD0224,Paris-CDG,4813,216,2738.77,2023-10-13
INVI00123,PRD0433,Zurich-Center,28,258,22238.77,2024-10-31
INVI00124,PRD0240,Paris-CDG,401,273,7868.26,2023-05-20
INVI00125,PRD0256,New York-NJ,1376,185,984.45,2024-11-15
INVI00126,PRD0342,Dubai-Jebel Ali,3783,169,32934.76,2024-05-22
INVI00127,PRD0402,Paris-CDG,693,121,26847.56,2024-04-20
INVI00128,PRD0069,New York-NJ,4149,83,35240.03,2023-04-13
INVI00129,PRD0054,Zurich-Center,2751,159,25906.23,2024-09-06
INVI00130,PRD0466,New York-NJ,2506,161,1146.29,2024-05-17
INVI00131,PRD0231,Amsterdam-Port,2604,296,23793.15,2024-02-04
INVI00132,PRD0357,Zurich-Center,918,201,32701.07,2023-06-02
INVI00133,PRD0019,Milan-North,984,298,8202,2024-02-15
INVI00134,PRD0123,Zurich-Center,3764,254,11306.72,2024-06-27
INVI00135,PRD0401,Zurich-Center,1431,140,1814.45,2024-05-22
INVI00136,PRD0183,Frankfurt-Main,3476,169,29885.36,2024-06-21
INVI00137,PRD0214,Singapore-Hub,1549,142,21662.77,2024-07-18
INVI00138,PRD0067,Frankfurt-Main,4014,236,19875.57,2024-06-05
INVI00139,PRD0231,Madrid-Central,4088,165,24296.37,2024-01-18
INVI00140,PRD0443,Zurich-Center,2728,217,22011.64,2023-08-10
INVI00141,PRD0275,Amsterdam-Port,3054,148,24184.33,2024-08-27
INVI00142,PRD0241,Frankfurt-Main,1453,139,5800.92,2023-02-06
INVI00143,PRD0432,Frankfurt-Main,1639,65,27887.19,2023-09-18
INVI00144,PRD0219,Zurich-Center,1008,88,15273.32,2024-05-17
INVI00145,PRD0058,Zurich-Center,729,195,16820.74,2024-08-22
INVI00146,PRD0295,Amsterdam-Port,1727,144,9574.24,2023-02-08
INVI00147,PRD0109,Frankfurt-Main,2009,245,22213.42,2024-07-24
INVI00148,PRD0111,Paris-CDG,2629,214,15744.73,2023-05-16
INVI00149,PRD0264,Singapore-Hub,3063,109,9432.16,2023-12-06
INVI00150,PRD0092,New York-NJ,1406,63,5447.34,2024-11-22
INVI00151,PRD0142,Dubai-Jebel Ali,4021,114,19212.58,2023-05-07
INVI00152,PRD0059,London-Heathrow,4575,90,16141.17,2024-11-11
INVI00153,PRD0302,Amsterdam-Port,2378,240,14748.23,2024-04-07
INVI00154,PRD0119,Zurich-Center,1353,254,5118.84,2024-08-15
INVI00155,PRD0114,Frankfurt-Main,3608,215,18414.4,2024-03-17
INVI00156,PRD0172,Paris-CDG,2001,195,26047.89,2024-12-03
INVI00157,PRD0370,Singapore-Hub,3059,264,30326.25,2024-10-25
INVI00158,PRD0029,Milan-North,2667,297,19304.57,2024-11-07
INVI00159,PRD0254,Singapore-Hub,4608,70,18358.03,2023-07-28
INVI00160,PRD0038,London-Heathrow,2467,104,12086.34,2023-11-23
INVI00161,PRD0106,Milan-North,2028,178,37001.2,2023-03-20
INVI00162,PRD0036,Milan-North,4054,140,1285.67,2024-08-24
INVI00163,PRD0073,Singapore-Hub,1293,62,24763.66,2024-06-11
INVI00164,PRD0018,Amsterdam-Port,3117,201,28079.14,2024-01-18
INVI00165,PRD0231,Milan-North,3421,97,35284.78,2023-09-20
INVI00166,PRD0101,Amsterdam-Port,4723,75,16289.33,2024-01-22
INVI00167,PRD0456,Singapore-Hub,39,256,20843.75,2023-11-19
INVI00168,PRD0167,Paris-CDG,3274,196,30365.5,2023-08-22
INVI00169,PRD0397,Zurich-Center,2233,118,32078.58,2023-03-03
INVI00170,PRD0403,Frankfurt-Main,128,126,5853.36,2024-05-13
INVI00171,PRD0400,Zurich-Center,3882,116,24896.91,2023-12-24
INVI00172,PRD0143,Zurich-Center,1230,79,36834.48,2023-01-02
INVI00173,PRD0055,Dubai-Jebel Ali,581,179,21836.99,2024-10-17
INVI00174,PRD0315,New York-NJ,930,104,38376.22,2024-10-04
INVI00175,PRD0301,Amsterdam-Port,3028,164,38845.8,2023-11-25
INVI00176,PRD0108,Dubai-Jebel Ali,2512,253,20121.83,2024-10-11
INVI00177,PRD0040,Frankfurt-Main,730,133,28671.25,2023-02-08
INVI00178,PRD0438,Amsterdam-Port,2454,167,14789.86,2023-02-24
INVI00179,PRD0330,Frankfurt-Main,3375,123,33665.68,2024-12-04
INVI00180,PRD0083,New York-NJ,1534,127,33290.15,2023-12-09
INVI00181,PRD0466,Milan-North,2325,156,39565.93,2023-01-04
INVI00182,PRD0467,London-Heathrow,1011,262,9235.98,2024-12-27
INVI00183,PRD0129,New York-NJ,1389,86,26551.18,2024-08-06
INVI00184,PRD0146,Paris-CDG,4015,264,34406.66,2024-03-31
INVI00185,PRD0127,Madrid-Central,1876,120,15409.15,2023-03-05
INVI00186,PRD0471,Zurich-Center,2789,263,37048.78,2024-04-28
INVI00187,PRD0351,Paris-CDG,414,156,2047.94,2023-09-13
INVI00188,PRD0475,Zurich-Center,4304,268,39411.6,2023-02-22
INVI00189,PRD0227,Zurich-Center,2928,77,15659.49,2023-12-12
INVI00190,PRD0069,Frankfurt-Main,2127,211,30506.55,2023-03-29
INVI00191,PRD0379,London-Heathrow,3,283,6834.87,2023-10-26
INVI00192,PRD0325,Frankfurt-Main,3994,136,15986.41,2024-01-28
INVI00193,PRD0264,Paris-CDG,4975,136,17456.18,2024-11-11
INVI00194,PRD0425,Frankfurt-Main,4331,237,38171.69,2023-12-10
INVI00195,PRD0139,Frankfurt-Main,1570,105,26970.97,2024-03-21
INVI00196,PRD0201,Milan-North,101,85,20725.19,2024-09-03
INVI00197,PRD0410,Frankfurt-Main,2693,281,17255.16,2023-11-24
INVI00198,PRD0283,Frankfurt-Main,3598,215,24512.72,2024-11-13
INVI00199,PRD0192,Singapore-Hub,4495,93,22641.47,2024-12-21
INVI00200,PRD0169,London-Heathrow,2490,201,7147.69,2023-03-29
INVI00201,PRD0417,Zurich-Center,951,214,27429.24,2024-10-28
INVI00202,PRD0145,London-Heathrow,4672,199,36421.33,2023-10-04
INVI00203,PRD0258,Frankfurt-Main,2377,78,11384.06,2023-03-28
INVI00204,PRD0111,Dubai-Jebel Ali,2964,227,28136.83,2024-08-14
INVI00205,PRD0298,Amsterdam-Port,4755,80,11394.7,2023-06-22
INVI00206,PRD0212,Milan-North,1260,51,36232.47,2023-06-16
INVI00207,PRD0421,Paris-CDG,885,165,12092.79,2023-02-13
INVI00208,PRD0078,Paris-CDG,4145,215,12122.99,2023-11-11
INVI00209,PRD0224,Zurich-Center,4122,181,38415.05,2024-02-05
INVI00210,PRD0207,Milan-North,2435,189,2982.63,2024-07-09
INVI00211,PRD0076,Singapore-Hub,1528,290,31975.61,2023-05-08
INVI00212,PRD0127,New York-NJ,3744,277,26727.63,2024-09-13
INVI00213,PRD0488,Frankfurt-Main,3410,129,38264.54,2024-12-11
INVI00214,PRD0328,Zurich-Center,1013,282,38667.21,2023-07-15
INVI00215,PRD0408,London-Heathrow,931,193,26192.16,2023-04-08
INVI00216,PRD0051,Amsterdam-Port,504,182,12599.52,2023-05-21
INVI00217,PRD0112,Frankfurt-Main,2943,153,33156.28,2024-06-30
INVI00218,PRD0393,London-Heathrow,1931,124,7337.57,2023-09-14
INVI00219,PRD0479,Paris-CDG,1027,87,35258.69,2023-09-15
INVI00220,PRD0203,London-Heathrow,3219,172,33348.56,2024-10-06
INVI00221,PRD0125,London-Heathrow,82,85,12539.13,2023-09-17
INVI00222,PRD0082,Amsterdam-Port,4398,158,17651.64,2023-02-10
INVI00223,PRD0417,Singapore-Hub,3883,148,1204.92,2023-05-18
INVI00224,PRD0317,Amsterdam-Port,4833,242,21419.81,2024-10-17
INVI00225,PRD0362,New York-NJ,3236,282,18801.24,2023-02-23
INVI00226,PRD0498,Dubai-Jebel Ali,4089,174,34533.06,2023-03-18
INVI00227,PRD0021,Singapore-Hub,2769,95,31743.8,2024-12-05
INVI00228,PRD0027,Paris-CDG,1975,263,8762.14,2023-02-06
INVI00229,PRD0452,Milan-North,598,54,27523.14,2024-09-04
INVI00230,PRD0366,Singapore-Hub,1184,122,31935.19,2023-05-21
INVI00231,PRD0177,Madrid-Central,1497,160,13867.28,2023-03-08
INVI00232,PRD0224,Dubai-Jebel Ali,4854,221,8310.56,2023-07-02
INVI00233,PRD0249,New York-NJ,1916,198,22045.3,2024-12-17
INVI00234,PRD0095,Amsterdam-Port,4551,218,4153.85,2024-07-18
INVI00235,PRD0087,Dubai-Jebel Ali,4723,98,36315.27,2024-10-25
INVI00236,PRD0099,London-Heathrow,3763,190,26043.38,2024-06-12
INVI00237,PRD0011,Singapore-Hub,325,120,7242.21,2023-08-26
INVI00238,PRD0181,Singapore-Hub,1892,70,20852.15,2024-09-08
INVI00239,PRD0189,Zurich-Center,1927,68,32828.33,2024-03-12
INVI00240,PRD0350,Zurich-Center,4859,97,26985,2024-10-28
INVI00241,PRD0098,Milan-North,2043,129,28290.21,2023-02-28
INVI00242,PRD0178,Paris-CDG,3844,268,39866.47,2023-01-04
INVI00243,PRD0254,Singapore-Hub,3071,51,28934.11,2024-07-18
INVI00244,PRD0471,Madrid-Central,4639,122,26351.73,2024-09-16
INVI00245,PRD0314,New York-NJ,1620,250,13873.19,2024-01-22
INVI00246,PRD0259,New York-NJ,3396,82,30752.5,2023-09-01
INVI00247,PRD0280,Paris-CDG,2665,283,23160.46,2023-03-16
INVI00248,PRD0313,Madrid-Central,4525,121,29599.12,2023-10-12
INVI00249,PRD0384,London-Heathrow,1334,280,14844.08,2023-12-07
INVI00250,PRD0173,Frankfurt-Main,1606,259,33847.38,2023-07-13
INVI00251,PRD0363,Paris-CDG,2682,206,2711.49,2023-10-29
INVI00252,PRD0050,Zurich-Center,3387,103,26384.7,2023-12-29
