  erp_invoices  ·  900 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
invoice_id,customer_id,order_id,amount,tax_amount,issue_date,due_date,payment_status,currency
SINV00001,CUS0022,SO00155,225765.34,54681.99,2023-09-30,2023-12-02,Paid,TND
SINV00002,CUS0106,SO00153,117918.85,26143.97,2022-07-27,2022-10-23,Partially Paid,TND
SINV00003,CUS0157,SO00441,131842.35,30399.46,2022-04-29,2022-07-15,Unpaid,TND
SINV00004,CUS0185,SO00363,23927.37,4835.65,2023-10-07,2023-11-18,Unpaid,TND
SINV00005,CUS0145,SO00384,8195.8,2007.08,2022-08-03,2022-10-11,Partially Paid,TND
SINV00006,CUS0040,SO00455,356367.39,77990.71,2024-11-04,2024-12-11,Paid,TND
SINV00007,CUS0006,SO00295,387678.03,93695.83,2022-09-24,2022-12-13,Partially Paid,TND
SINV00008,CUS0118,SO00723,428044.53,89173.99,2024-09-17,2024-12-06,Overdue,TND
SINV00009,CUS0066,SO00175,133589.72,28935.25,2023-08-07,2023-11-05,Partially Paid,TND
SINV00010,CUS0199,SO00351,52729.23,11317.13,2023-10-13,2023-11-16,Unpaid,TND
SINV00011,CUS0125,SO00864,343014.47,70316.55,2022-08-18,2022-10-07,Partially Paid,TND
SINV00012,CUS0106,SO00153,120943.08,26143.97,2022-07-31,2022-09-20,Unpaid,TND
SINV00013,CUS0061,SO00160,246227.43,58423.9,2024-04-16,2024-05-23,Partially Paid,TND
SINV00014,CUS0120,SO00282,436938.02,97775.21,2023-08-05,2023-10-23,Overdue,TND
SINV00015,CUS0198,SO00890,339660.95,74900.95,2022-10-21,2022-12-02,Partially Paid,TND
SINV00016,CUS0157,SO00394,135839.2,29953.49,2023-11-08,2024-02-01,Paid,TND
SINV00017,CUS0180,SO00954,66899.92,16232,2024-10-17,2025-01-05,Overdue,TND
SINV00018,CUS0019,SO00756,310562.11,74158.25,2023-11-15,2024-01-02,Partially Paid,TND
SINV00019,CUS0102,SO00673,55310.55,11734.23,2022-05-28,2022-07-16,Partially Paid,TND
SINV00020,CUS0190,SO00495,352473.9,79368.53,2023-12-26,2024-02-22,Overdue,TND
SINV00021,CUS0024,SO00223,100384.84,22671.01,2023-04-12,2023-06-01,Overdue,TND
SINV00022,CUS0189,SO00077,299367.63,65956.77,2025-01-01,2025-02-07,Partially Paid,TND
SINV00023,CUS0188,SO00602,251900.59,54585.49,2022-02-04,2022-04-10,Paid,TND
SINV00024,CUS0056,SO00297,368266.15,77397.01,2023-03-14,2023-06-09,Overdue,TND
SINV00025,CUS0040,SO00354,293350.7,65043.01,2022-10-16,2023-01-14,Partially Paid,TND
SINV00026,CUS0132,SO00596,55037.72,12860.8,2022-12-24,2023-01-25,Overdue,TND
SINV00027,CUS0100,SO00843,43611.34,10339.49,2024-08-08,2024-09-11,Overdue,TND
SINV00028,CUS0176,SO00207,37252.53,8852.79,2022-10-09,2022-12-26,Partially Paid,TND
SINV00029,CUS0061,SO00339,298632.66,73665.77,2022-07-27,2022-10-10,Partially Paid,TND
SINV00030,CUS0048,SO00355,196254.04,41815.7,2024-05-18,2024-07-26,Partially Paid,TND
SINV00031,CUS0095,SO00748,67795.42,14914.8,2024-04-19,2024-07-08,Overdue,TND
SINV00032,CUS0018,SO00854,168870.16,37699.96,2023-01-05,2023-03-07,Unpaid,TND
SINV00033,CUS0068,SO00283,10601.21,2460.86,2022-05-03,2022-06-12,Overdue,TND
SINV00034,CUS0184,SO00834,196962.78,42437.82,2023-11-25,2024-01-27,Paid,TND
SINV00035,CUS0077,SO00205,121555.73,24991.31,2024-10-27,2024-12-01,Unpaid,TND
SINV00036,CUS0061,SO00160,255233.25,58423.9,2024-04-16,2024-06-14,Paid,TND
SINV00037,CUS0052,SO00978,140291.52,29657.85,2022-12-12,2023-02-19,Partially Paid,TND
SINV00038,CUS0117,SO00437,337483.26,69744.17,2023-12-09,2024-01-31,Partially Paid,TND
SINV00039,CUS0070,SO00452,210832.47,42598.92,2024-08-05,2024-10-23,Unpaid,TND
SINV00040,CUS0145,SO00384,9670.1,2007.08,2022-08-06,2022-10-15,Unpaid,TND
SINV00041,CUS0155,SO00846,464918.66,95037.16,2022-02-23,2022-04-08,Paid,TND
SINV00042,CUS0033,SO00168,258042.01,58109.72,2023-06-10,2023-08-22,Partially Paid,TND
SINV00043,CUS0013,SO00912,399786.42,93936.48,2024-05-28,2024-08-20,Unpaid,TND
SINV00044,CUS0163,SO00482,206722.9,42515.15,2023-09-16,2023-12-12,Overdue,TND
SINV00045,CUS0190,SO00074,279502.49,60954.75,2023-03-01,2023-05-27,Unpaid,TND
SINV00046,CUS0111,SO00305,97395.06,21548.67,2023-01-26,2023-04-11,Unpaid,TND
SINV00047,CUS0157,SO00441,128219.95,30399.46,2022-04-23,2022-07-20,Overdue,TND
SINV00048,CUS0090,SO00012,452191.64,97828.91,2024-09-07,2024-10-22,Overdue,TND
SINV00049,CUS0194,SO00805,190486.06,45536.22,2024-07-28,2024-10-13,Unpaid,TND
SINV00050,CUS0108,SO00996,207799.23,49498.43,2022-12-10,2023-02-24,Paid,TND
SINV00051,CUS0180,SO00336,189788.9,45068.03,2022-01-19,2022-04-01,Unpaid,TND
SINV00052,CUS0151,SO00167,266206.21,60537.44,2022-06-24,2022-08-11,Partially Paid,TND
SINV00053,CUS0044,SO00143,168865.76,41222.52,2023-12-26,2024-03-25,Overdue,TND
