  erp_order_lines  ·  2522 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
order_line_id,order_id,product_id,quantity,unit_price,discount_pct,line_total,currency,delivery_status
OL000001,SO00001,PRD0022,9,45183.17,5,386316.1,TND,Delivered
OL000002,SO00001,PRD0101,5,6300.91,0,31504.55,TND,Delivered
OL000003,SO00001,PRD0056,1,46715.98,10,42044.38,TND,Shipped
OL000004,SO00001,PRD0017,10,29959.35,0,299593.5,TND,Shipped
OL000005,SO00002,PRD0344,1,40505.16,0,40505.16,TND,Shipped
OL000006,SO00002,PRD0180,5,23129.96,15,98302.33,TND,Delivered
OL000007,SO00003,PRD0438,10,12937.55,0,129375.5,TND,Pending
OL000008,SO00003,PRD0257,2,14553.17,10,26195.71,TND,Shipped
OL000009,SO00004,PRD0367,5,27477.66,0,137388.3,TND,Shipped
OL000010,SO00004,PRD0099,1,22549.28,15,19166.89,TND,Delivered
OL000011,SO00005,PRD0472,8,46761.95,0,374095.6,TND,Pending
OL000012,SO00005,PRD0259,8,19579.16,5,148801.62,TND,Delivered
OL000013,SO00006,PRD0195,9,47349.95,0,426149.55,TND,Delivered
OL000014,SO00006,PRD0218,6,30907.79,0,185446.74,TND,Delivered
OL000015,SO00006,PRD0110,3,46582.29,0,139746.87,TND,Delivered
OL000016,SO00007,PRD0286,2,40666.37,0,81332.74,TND,Delivered
OL000017,SO00007,PRD0370,5,10755.38,0,53776.9,TND,Pending
OL000018,SO00007,PRD0021,8,2150.06,0,17200.48,TND,Delivered
OL000019,SO00008,PRD0097,8,11061.2,15,75216.16,TND,Delivered
OL000020,SO00008,PRD0439,1,24852.41,15,21124.55,TND,Delivered
OL000021,SO00008,PRD0036,2,40537.18,0,81074.36,TND,Delivered
OL000022,SO00008,PRD0459,2,26628.18,0,53256.36,TND,Delivered
OL000023,SO00009,PRD0380,3,37396.3,0,112188.9,TND,Cancelled
OL000024,SO00010,PRD0103,7,19689.56,0,137826.92,TND,Shipped
OL000025,SO00010,PRD0305,8,19941.92,0,159535.36,TND,Pending
