  erp_po_lines  ·  1210 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
po_line_id,po_id,product_id,quantity_ordered,unit_cost,line_total,quantity_received,currency,expected_delivery,notes
POL00001,PO00001,PRD0115,45,13673.81,615321.51,39,TND,2023-04-04,
POL00002,PO00001,PRD0004,37,22335.39,826409.29,36,TND,2023-04-04,
POL00003,PO00002,PRD0468,35,15006.1,525213.61,10,TND,2022-03-31,
POL00004,PO00003,PRD0268,26,13038.84,339009.74,18,TND,2022-04-23,
POL00005,PO00004,PRD0407,28,2530.87,70864.37,6,TND,2023-11-03,Quality check required
POL00006,PO00004,PRD0020,25,25104.44,627611.03,9,TND,2023-11-03,Quality check required
POL00007,PO00005,PRD0168,17,25853.65,439512,3,TND,2024-03-22,
POL00008,PO00006,PRD0089,31,15947.61,494375.88,30,TND,2023-06-07,
POL00009,PO00006,PRD0188,32,1082.96,34654.75,28,TND,2023-06-07,Rush order
POL00010,PO00006,PRD0318,44,13072.14,575174.35,17,TND,2023-06-07,
POL00011,PO00007,PRD0443,10,5318.02,53180.18,0,TND,2023-04-05,Rush order
POL00012,PO00007,PRD0330,29,13667.09,396345.48,19,TND,2023-04-05,
POL00013,PO00007,PRD0411,12,5880.38,70564.54,11,TND,2023-04-05,
POL00014,PO00008,PRD0243,13,22303.97,289951.57,12,TND,2023-07-14,Quality check required
POL00015,PO00008,PRD0288,28,19409.61,543468.95,4,TND,2023-07-14,
POL00016,PO00008,PRD0031,38,20375.67,774275.55,35,TND,2023-07-14,Rush order
POL00017,PO00009,PRD0084,26,22570.31,586827.95,17,TND,2022-06-29,Quality check required
POL00018,PO00009,PRD0456,25,14516.29,362907.14,24,TND,2022-06-29,
POL00019,PO00010,PRD0213,33,17315.55,571413.31,17,TND,2024-02-11,Rush order
POL00020,PO00010,PRD0406,13,2429.26,31580.43,7,TND,2024-02-11,Rush order
POL00021,PO00010,PRD0387,47,26736.35,1256608.35,17,TND,2024-02-11,
POL00022,PO00011,PRD0174,28,4797.81,134338.64,25,TND,2023-03-31,Rush order
POL00023,PO00011,PRD0376,44,15287.84,672664.76,18,TND,2023-03-31,
POL00024,PO00011,PRD0302,24,3775.99,90623.86,19,TND,2023-03-31,
POL00025,PO00012,PRD0416,26,11999.02,311974.43,0,TND,2022-01-26,
POL00026,PO00013,PRD0452,14,26363.98,369095.77,12,TND,2023-11-05,Rush order
POL00027,PO00014,PRD0328,19,25332.86,481324.43,2,TND,2024-01-13,
POL00028,PO00014,PRD0118,12,3649.49,43793.83,12,TND,2024-01-13,Rush order
POL00029,PO00015,PRD0036,26,22351.89,581149.25,15,TND,2024-04-08,
POL00030,PO00015,PRD0107,45,29835.45,1342595.36,40,TND,2024-04-08,Quality check required
POL00031,PO00016,PRD0378,24,9096.17,218308.14,9,TND,2022-10-27,
POL00032,PO00016,PRD0094,29,31340.78,908882.65,12,TND,2022-10-27,
POL00033,PO00016,PRD0350,50,5575.93,278796.63,31,TND,2022-10-27,
POL00034,PO00017,PRD0494,19,20769.03,394611.5,13,TND,2023-07-23,Quality check required
POL00035,PO00017,PRD0436,33,29036.87,958216.81,18,TND,2023-07-23,Quality check required
POL00036,PO00018,PRD0383,28,26139.29,731900.14,27,TND,2024-06-11,
POL00037,PO00019,PRD0361,18,6592.29,118661.23,2,TND,2024-09-17,
POL00038,PO00019,PRD0086,16,20964.65,335434.44,3,TND,2024-09-17,
POL00039,PO00019,PRD0471,9,3832.11,34488.96,2,TND,2024-09-17,
POL00040,PO00020,PRD0074,45,1801.95,81087.57,19,TND,2023-12-08,
POL00041,PO00020,PRD0450,29,27657.35,802063.18,23,TND,2023-12-08,
POL00042,PO00020,PRD0431,38,30378.74,1154392.09,15,TND,2023-12-08,Quality check required
POL00043,PO00021,PRD0251,40,12862.62,514504.98,29,TND,2024-07-05,Rush order
POL00044,PO00021,PRD0082,15,16411.01,246165.12,15,TND,2024-07-05,Quality check required
POL00045,PO00022,PRD0362,16,1140.49,18247.86,11,TND,2023-01-24,Quality check required
POL00046,PO00022,PRD0045,21,7716.3,162042.31,11,TND,2023-01-24,
POL00047,PO00022,PRD0341,35,26873.95,940588.17,8,TND,2023-01-24,Quality check required
POL00048,PO00023,PRD0442,7,4013.65,28095.52,5,TND,2022-06-29,
POL00049,PO00024,PRD0047,47,15684.07,737151.16,47,TND,2022-06-28,Quality check required
POL00050,PO00024,PRD0262,47,18822.59,884661.89,35,TND,2022-06-28,
POL00051,PO00024,PRD0419,30,14304.88,429146.3,1,TND,2022-06-28,
POL00052,PO00025,PRD0368,12,30304.27,363651.22,10,TND,2022-04-21,Quality check required
POL00053,PO00026,PRD0033,18,3578.89,64420.04,6,TND,2022-05-02,Quality check required
POL00054,PO00027,PRD0373,42,18024.16,757014.63,11,TND,2024-03-20,
POL00055,PO00027,PRD0112,16,20911.2,334579.25,4,TND,2024-03-20,
POL00056,PO00027,PRD0475,44,34162.97,1503170.61,13,TND,2024-03-20,Quality check required
POL00057,PO00028,PRD0490,32,9756.75,312215.87,20,TND,2024-10-15,
POL00058,PO00029,PRD0328,40,22758.67,910346.73,35,TND,2023-02-05,
POL00059,PO00030,PRD0460,46,8982.32,413186.84,23,TND,2022-05-23,
POL00060,PO00031,PRD0439,40,14931.24,597249.76,19,TND,2022-10-02,Rush order
POL00061,PO00031,PRD0458,36,914.9,32936.46,29,TND,2022-10-02,Quality check required
POL00062,PO00031,PRD0277,30,14482.19,434465.59,9,TND,2022-10-02,
POL00063,PO00032,PRD0293,21,24742.78,519598.29,18,TND,2024-03-24,Quality check required
POL00064,PO00033,PRD0367,33,16352.37,539628.24,28,TND,2024-12-12,
POL00065,PO00033,PRD0372,16,17759.84,284157.36,14,TND,2024-12-12,
POL00066,PO00033,PRD0060,26,9042.16,235096.2,7,TND,2024-12-12,
POL00067,PO00034,PRD0389,12,27636.11,331633.37,3,TND,2022-06-12,Quality check required
POL00068,PO00034,PRD0270,25,12563.26,314081.57,4,TND,2022-06-12,
POL00069,PO00035,PRD0485,14,6666.32,93328.46,0,TND,2023-02-21,
POL00070,PO00035,PRD0469,28,5444.09,152434.4,12,TND,2023-02-21,
POL00071,PO00035,PRD0266,16,28780.53,460488.48,1,TND,2023-02-21,
POL00072,PO00036,PRD0390,48,30766.91,1476811.85,29,TND,2022-05-30,
POL00073,PO00036,PRD0284,41,32412.53,1328913.61,28,TND,2022-05-30,Rush order
POL00074,PO00037,PRD0108,28,9029.48,252825.52,21,TND,2022-06-12,
POL00075,PO00037,PRD0355,20,15814.68,316293.53,20,TND,2022-06-12,
POL00076,PO00037,PRD0379,8,28680.27,229442.18,0,TND,2022-06-12,
POL00077,PO00038,PRD0143,20,18138.12,362762.46,12,TND,2022-05-12,
POL00078,PO00039,PRD0438,34,8153.03,277203.05,4,TND,2023-12-29,Rush order
POL00079,PO00039,PRD0407,15,3360.29,50404.35,6,TND,2023-12-29,
POL00080,PO00039,PRD0294,10,8376.79,83767.86,0,TND,2023-12-29,
POL00081,PO00040,PRD0296,42,33264.61,1397113.67,22,TND,2024-09-14,
POL00082,PO00040,PRD0086,17,19872.72,337836.16,15,TND,2024-09-14,Rush order
POL00083,PO00040,PRD0399,37,14512.42,536959.54,12,TND,2024-09-14,
POL00084,PO00041,PRD0422,31,16414.58,508852.02,30,TND,2024-08-28,
POL00085,PO00041,PRD0101,42,3796.96,159472.12,31,TND,2024-08-28,
POL00086,PO00041,PRD0467,12,22266.43,267197.18,2,TND,2024-08-28,Quality check required
POL00087,PO00042,PRD0325,14,16955.68,237379.49,1,TND,2025-02-01,
POL00088,PO00043,PRD0061,49,1401.41,68669.17,29,TND,2024-02-07,Quality check required
POL00089,PO00044,PRD0386,12,15284.49,183413.89,9,TND,2023-01-12,
POL00090,PO00044,PRD0339,29,20728.52,601127,12,TND,2023-01-12,
POL00091,PO00045,PRD0468,12,13324.22,159890.66,9,TND,2022-09-01,
POL00092,PO00046,PRD0070,38,3648.09,138627.57,28,TND,2022-08-26,
POL00093,PO00046,PRD0371,44,11706.34,515078.82,13,TND,2022-08-26,
POL00094,PO00047,PRD0293,26,25708.25,668414.56,6,TND,2022-10-21,
POL00095,PO00047,PRD0099,16,12477.7,199643.12,14,TND,2022-10-21,Rush order
POL00096,PO00048,PRD0054,16,11435.21,182963.37,3,TND,2023-08-22,
POL00097,PO00048,PRD0077,40,10923.61,436944.27,25,TND,2023-08-22,
POL00098,PO00048,PRD0392,26,11853.93,308202.23,0,TND,2023-08-22,
POL00099,PO00049,PRD0168,29,23878.71,692482.48,4,TND,2022-09-24,
POL00100,PO00049,PRD0069,42,21192.95,890103.91,12,TND,2022-09-24,Rush order
POL00101,PO00049,PRD0077,27,14045.84,379237.7,23,TND,2022-09-24,Quality check required
POL00102,PO00050,PRD0415,46,27512.58,1265578.67,0,TND,2023-01-04,
POL00103,PO00051,PRD0342,49,6670.35,326846.93,37,TND,2023-11-25,Quality check required
POL00104,PO00051,PRD0292,11,27060.18,297662.03,3,TND,2023-11-25,Quality check required
POL00105,PO00051,PRD0306,22,23393.67,514660.72,6,TND,2023-11-25,Quality check required
POL00106,PO00052,PRD0282,29,18107.77,525125.31,9,TND,2024-07-01,
POL00107,PO00052,PRD0168,6,20596.95,123581.72,2,TND,2024-07-01,
POL00108,PO00053,PRD0399,35,11904.08,416642.96,3,TND,2023-05-31,Quality check required
POL00109,PO00053,PRD0080,44,13983.7,615282.76,10,TND,2023-05-31,Quality check required
POL00110,PO00053,PRD0014,36,24100.87,867631.18,17,TND,2023-05-31,
POL00111,PO00054,PRD0307,33,1044.37,34464.25,5,TND,2023-05-25,Quality check required
POL00112,PO00055,PRD0442,19,3218.75,61156.17,4,TND,2022-07-30,
POL00113,PO00055,PRD0303,38,34109.21,1296149.87,6,TND,2022-07-30,Rush order
POL00114,PO00056,PRD0134,48,34017.73,1632851.06,40,TND,2024-08-11,
POL00115,PO00056,PRD0488,50,11072.78,553638.88,18,TND,2024-08-11,
POL00116,PO00057,PRD0031,44,15557.26,684519.34,23,TND,2025-02-02,Quality check required
POL00117,PO00058,PRD0289,33,30998.12,1022938.04,23,TND,2023-07-14,Quality check required
POL00118,PO00058,PRD0469,24,7212.35,173096.37,19,TND,2023-07-14,
POL00119,PO00059,PRD0227,27,3962.12,106977.21,11,TND,2023-11-28,Rush order
POL00120,PO00059,PRD0303,16,29262.14,468194.26,7,TND,2023-11-28,Rush order
POL00121,PO00060,PRD0431,21,23008.02,483168.42,14,TND,2024-11-29,Quality check required
POL00122,PO00060,PRD0055,7,9565.72,66960.01,0,TND,2024-11-29,
POL00123,PO00061,PRD0063,31,13852.94,429441.17,14,TND,2023-08-16,
POL00124,PO00061,PRD0020,22,26523.51,583517.29,2,TND,2023-08-16,Quality check required
POL00125,PO00061,PRD0107,38,25890.19,983827.36,2,TND,2023-08-16,
POL00126,PO00062,PRD0265,47,25593.39,1202889.41,23,TND,2023-01-17,Quality check required
POL00127,PO00063,PRD0076,11,25256.72,277823.93,5,TND,2023-04-01,
POL00128,PO00064,PRD0044,31,4344.13,134667.92,28,TND,2024-05-11,
POL00129,PO00064,PRD0101,34,3853.8,131029.16,14,TND,2024-05-11,Rush order
POL00130,PO00065,PRD0497,23,13742.21,316070.78,11,TND,2024-12-12,
POL00131,PO00066,PRD0252,30,4510.86,135325.73,5,TND,2023-05-31,
POL00132,PO00066,PRD0154,6,8054.87,48329.24,0,TND,2023-05-31,
POL00133,PO00067,PRD0094,38,31420.14,1193965.44,22,TND,2024-03-25,Quality check required
POL00134,PO00067,PRD0179,32,26276.54,840849.27,16,TND,2024-03-25,Quality check required
POL00135,PO00068,PRD0105,5,7025.14,35125.7,2,TND,2024-06-28,
POL00136,PO00069,PRD0412,30,3298.71,98961.25,5,TND,2022-07-21,Quality check required
POL00137,PO00069,PRD0447,32,31265.06,1000482,25,TND,2022-07-21,Quality check required
POL00138,PO00069,PRD0398,10,10999.34,109993.44,5,TND,2022-07-21,
POL00139,PO00070,PRD0269,13,21670.95,281722.41,11,TND,2024-04-26,Quality check required
POL00140,PO00071,PRD0017,22,16908.91,371996.11,12,TND,2024-06-13,Quality check required
POL00141,PO00072,PRD0052,45,17888.97,805003.84,37,TND,2022-02-17,
POL00142,PO00072,PRD0160,12,20268.26,243219.09,0,TND,2022-02-17,Quality check required
POL00143,PO00073,PRD0249,21,24402.36,512449.49,1,TND,2024-05-25,
POL00144,PO00073,PRD0342,21,7728.55,162299.51,18,TND,2024-05-25,
POL00145,PO00073,PRD0240,40,30429.6,1217184,4,TND,2024-05-25,
POL00146,PO00074,PRD0440,41,7581.79,310853.34,0,TND,2024-06-13,Rush order
POL00147,PO00074,PRD0363,50,4748.49,237424.43,4,TND,2024-06-13,Rush order
POL00148,PO00074,PRD0324,7,4481.95,31373.63,4,TND,2024-06-13,
POL00149,PO00075,PRD0257,46,10149.55,466879.17,38,TND,2024-05-16,Quality check required
POL00150,PO00075,PRD0020,30,31328.35,939850.39,25,TND,2024-05-16,
POL00151,PO00075,PRD0414,36,23968.04,862849.52,14,TND,2024-05-16,
POL00152,PO00076,PRD0238,48,34566.99,1659215.33,7,TND,2023-12-15,Quality check required
POL00153,PO00077,PRD0309,11,29614.06,325754.69,6,TND,2022-04-30,Quality check required
POL00154,PO00077,PRD0285,14,3391.76,47484.58,3,TND,2022-04-30,Quality check required
POL00155,PO00078,PRD0488,41,12276.07,503318.96,17,TND,2023-02-07,
POL00156,PO00078,PRD0026,16,9517.46,152279.35,10,TND,2023-02-07,Quality check required
POL00157,PO00079,PRD0108,37,9075.6,335797.13,37,TND,2024-02-28,
POL00158,PO00080,PRD0299,44,20708.49,911173.69,28,TND,2023-09-04,
POL00159,PO00080,PRD0292,21,20289.55,426080.51,5,TND,2023-09-04,Quality check required
POL00160,PO00081,PRD0072,37,17486.66,647006.38,29,TND,2022-06-04,
POL00161,PO00081,PRD0014,11,30183.02,332013.19,1,TND,2022-06-04,Quality check required
POL00162,PO00081,PRD0110,15,26259.86,393897.95,0,TND,2022-06-04,Rush order
POL00163,PO00082,PRD0436,39,29336.91,1144139.33,5,TND,2022-06-01,
POL00164,PO00083,PRD0351,41,22763.57,933306.51,32,TND,2023-12-19,
POL00165,PO00083,PRD0360,42,22710.99,953861.73,28,TND,2023-12-19,
POL00166,PO00084,PRD0043,6,38153.73,228922.4,5,TND,2022-03-02,
POL00167,PO00085,PRD0321,47,26752.1,1257348.74,32,TND,2023-08-20,
POL00168,PO00085,PRD0301,9,12573.25,113159.29,8,TND,2023-08-20,Quality check required
POL00169,PO00085,PRD0494,24,22233.48,533603.42,17,TND,2023-08-20,
POL00170,PO00086,PRD0389,27,20613.77,556571.76,16,TND,2023-11-29,
POL00171,PO00087,PRD0475,37,34462.49,1275112.23,23,TND,2024-11-16,Quality check required
POL00172,PO00087,PRD0120,39,31781.46,1239476.95,11,TND,2024-11-16,
POL00173,PO00087,PRD0293,21,29424.83,617921.39,17,TND,2024-11-16,
POL00174,PO00088,PRD0243,10,21256.01,212560.14,2,TND,2024-01-26,
POL00175,PO00088,PRD0164,10,24495.38,244953.77,4,TND,2024-01-26,
POL00176,PO00089,PRD0047,10,15011.66,150116.62,2,TND,2023-08-16,
POL00177,PO00089,PRD0392,48,15654.19,751401.36,37,TND,2023-08-16,Rush order
POL00178,PO00090,PRD0308,40,34319.54,1372781.59,32,TND,2023-05-29,
POL00179,PO00091,PRD0372,47,19287.52,906513.41,30,TND,2024-05-21,
POL00180,PO00091,PRD0386,42,16117.43,676931.87,22,TND,2024-05-21,
POL00181,PO00092,PRD0061,42,1366.56,57395.64,27,TND,2023-08-09,
POL00182,PO00092,PRD0133,7,21041.38,147289.69,7,TND,2023-08-09,
