  erp_products  ·  500 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
product_id,name,category,unit_price,currency,sku,supplier_id,unit_of_measure,created_at
PRD0001,Licence ServiceNow ITSM annuel,ITSM Platform,19358.04,TND,QP-4421-GK,SUP0034,Each,2022-02-15
PRD0002,Licence GitLab Ultimate annuel,Dev Tools,6498.4,TND,MR-1993-AH,SUP0040,Pack,2022-09-05
PRD0003,Journee Conseil Senior,Conseil et Prestation,1154.59,TND,QV-2311-QM,SUP0031,Each,2020-04-11
PRD0004,Serveur Dell PowerEdge R760,Materiel Informatique,18932.08,TND,KV-8392-IT,SUP0064,Pack,2020-11-27
PRD0005,Formation SAP Certifiante 5 jours,Formation,4853.72,TND,HN-1707-PS,SUP0057,Year,2020-03-20
PRD0006,Licence GitLab Ultimate annuel,Dev Tools,5114.44,TND,KW-5743-EB,SUP0077,Month,2021-01-07
PRD0007,Serveur Dell PowerEdge R760,Materiel Informatique,18117.62,TND,MV-2723-CM,SUP0074,Hour,2021-03-14
PRD0008,Journee Conseil Junior,Conseil et Prestation,769.15,TND,RJ-6593-LN,SUP0102,Hour,2019-11-07
PRD0009,Abonnement Datadog pro annuel,Monitoring,7007.16,TND,HI-1405-TP,SUP0078,Month,2020-06-12
PRD0010,Stockage NAS NetApp AFF A400,Stockage,46659.03,TND,KV-7208-SS,SUP0024,Year,2021-04-15
PRD0011,Parefeu Palo Alto PA-3430,Cybersecurite,36198.85,TND,KO-1553-QW,SUP0114,Hour,2021-07-23
PRD0012,Switch Cisco Catalyst 9300,Reseau,8411.81,TND,TF-7656-DF,SUP0060,Month,2020-01-12
PRD0013,Formation SAP Certifiante 5 jours,Formation,3982.46,TND,BL-4905-ZD,SUP0071,Month,2021-05-09
PRD0014,Formation SAP Certifiante 5 jours,Formation,4144.78,TND,KZ-3751-HE,SUP0025,Year,2020-05-10
PRD0015,Formation Data Science 3 jours,Formation,3288.06,TND,PF-5586-JU,SUP0105,Year,2019-02-26
PRD0016,Audit Securite SI standard,Cybersecurite,17170.92,TND,RA-6632-RE,SUP0057,Month,2021-03-13
PRD0017,Parefeu Palo Alto PA-3430,Cybersecurite,30228.28,TND,CN-4972-MV,SUP0005,Hour,2020-06-26
PRD0018,Licence GitLab Ultimate annuel,Dev Tools,5880.5,TND,IN-6581-GD,SUP0075,Year,2021-12-01
PRD0019,Pentest Application Web,Cybersecurite,8242.28,TND,ZX-9673-UI,SUP0057,Hour,2020-09-11
PRD0020,Journee Conseil Junior,Conseil et Prestation,637.23,TND,MW-7951-OQ,SUP0058,Month,2021-03-23
PRD0021,Abonnement Datadog pro annuel,Monitoring,7315,TND,SY-3765-DX,SUP0118,Hour,2019-03-12
PRD0022,Switch Cisco Catalyst 9300,Reseau,7284.34,TND,OZ-4421-YU,SUP0085,License,2022-01-10
PRD0023,Stockage NAS NetApp AFF A400,Stockage,48635.12,TND,EX-9143-FU,SUP0010,Pack,2019-11-19
PRD0024,Licence Power BI Premium,Data et Analytics,5869.99,TND,EV-8764-XP,SUP0040,Pack,2019-08-24
PRD0025,Formation Data Science 3 jours,Formation,3474.08,TND,EO-1108-MA,SUP0011,Year,2019-03-26
PRD0026,Licence Microsoft 365 Business Premium,Productivite,2562.83,TND,RD-1347-DE,SUP0091,Year,2019-01-08
PRD0027,Formation SAP Certifiante 5 jours,Formation,5359.17,TND,HY-2094-KN,SUP0080,License,2022-09-10
PRD0028,Licence GitLab Ultimate annuel,Dev Tools,6303.57,TND,KD-8642-IT,SUP0100,Each,2020-12-29
PRD0029,Formation Data Science 3 jours,Formation,3040.51,TND,LH-1832-FS,SUP0008,Hour,2021-12-30
PRD0030,Support et Maintenance Tiers 2 annuel,Maintenance,14872.94,TND,YE-1219-OJ,SUP0064,License,2020-05-02
