  erp_purchase_orders  ·  600 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
po_id,supplier_id,order_date,expected_delivery,amount,status,approved_by,currency,warehouse
PO00001,SUP0065,2023-02-08,2023-04-04,36967.15,Submitted,EMP0056,TND,Milan-North
PO00002,SUP0050,2022-02-27,2022-03-31,98098.39,Draft,EMP0149,TND,Madrid-Central
PO00003,SUP0113,2022-03-28,2022-04-23,199736.88,Approved,EMP0020,TND,London-Heathrow
PO00004,SUP0044,2023-09-30,2023-11-03,38733.94,Submitted,EMP0065,TND,Milan-North
PO00005,SUP0057,2024-03-05,2024-03-22,105435.61,Cancelled,EMP0057,TND,Zurich-Center
PO00006,SUP0116,2023-04-10,2023-06-07,8851.9,Received,EMP0041,TND,Zurich-Center
PO00007,SUP0026,2023-01-23,2023-04-05,57110.26,Approved,EMP0051,TND,Milan-North
PO00008,SUP0027,2023-04-25,2023-07-14,90462.4,Cancelled,EMP0094,TND,Zurich-Center
PO00009,SUP0094,2022-06-13,2022-06-29,69388.4,Draft,EMP0149,TND,Madrid-Central
PO00010,SUP0072,2023-11-28,2024-02-11,73558.88,Approved,EMP0016,TND,Dubai-Jebel Ali
PO00011,SUP0045,2023-01-15,2023-03-31,27563.88,Submitted,EMP0049,TND,Paris-CDG
PO00012,SUP0062,2022-01-12,2022-01-26,112792.63,Draft,EMP0143,TND,New York-NJ
PO00013,SUP0065,2023-09-14,2023-11-05,79975.5,Received,EMP0073,TND,Singapore-Hub
PO00014,SUP0022,2023-12-18,2024-01-13,55237.69,Submitted,EMP0094,TND,New York-NJ
PO00015,SUP0006,2024-01-14,2024-04-08,128328.96,Received,EMP0147,TND,London-Heathrow
PO00016,SUP0059,2022-10-13,2022-10-27,149763.41,Approved,EMP0034,TND,Milan-North
PO00017,SUP0115,2023-06-26,2023-07-23,159604.38,Draft,EMP0095,TND,Milan-North
PO00018,SUP0023,2024-04-20,2024-06-11,195734.42,Submitted,EMP0109,TND,New York-NJ
PO00019,SUP0054,2024-07-01,2024-09-17,7181.71,Cancelled,EMP0068,TND,Paris-CDG
PO00020,SUP0073,2023-10-04,2023-12-08,61838.99,Draft,EMP0064,TND,Amsterdam-Port
PO00021,SUP0106,2024-05-18,2024-07-05,35764.02,Approved,EMP0084,TND,Amsterdam-Port
PO00022,SUP0004,2022-11-16,2023-01-24,65393.17,Submitted,EMP0036,TND,New York-NJ
PO00023,SUP0038,2022-05-18,2022-06-29,61077.57,Draft,EMP0054,TND,Singapore-Hub
PO00024,SUP0045,2022-05-26,2022-06-28,178146.79,Approved,EMP0049,TND,Frankfurt-Main
PO00025,SUP0078,2022-03-30,2022-04-21,68359.56,Received,EMP0137,TND,Amsterdam-Port
PO00026,SUP0080,2022-03-03,2022-05-02,49672.5,Draft,EMP0048,TND,London-Heathrow
PO00027,SUP0021,2024-01-15,2024-03-20,56575.78,Received,EMP0073,TND,Singapore-Hub
PO00028,SUP0008,2024-08-07,2024-10-15,88786.78,Received,EMP0075,TND,Madrid-Central
PO00029,SUP0065,2022-12-01,2023-02-05,126196.55,Submitted,EMP0010,TND,Singapore-Hub
PO00030,SUP0059,2022-03-03,2022-05-23,17707.63,Draft,EMP0018,TND,Paris-CDG
PO00031,SUP0018,2022-08-12,2022-10-02,199909.42,Approved,EMP0135,TND,Paris-CDG
PO00032,SUP0051,2024-02-01,2024-03-24,188604.04,Draft,EMP0029,TND,Dubai-Jebel Ali
PO00033,SUP0040,2024-09-14,2024-12-12,131276.51,Draft,EMP0072,TND,Madrid-Central
PO00034,SUP0106,2022-05-23,2022-06-12,132263.01,Draft,EMP0113,TND,London-Heathrow
PO00035,SUP0089,2023-01-29,2023-02-21,146929.14,Approved,EMP0146,TND,London-Heathrow
PO00036,SUP0037,2022-03-05,2022-05-30,120987.99,Draft,EMP0107,TND,Madrid-Central
PO00037,SUP0114,2022-04-26,2022-06-12,18948.51,Draft,EMP0016,TND,Singapore-Hub
PO00038,SUP0086,2022-03-24,2022-05-12,137641.47,Submitted,EMP0020,TND,Paris-CDG
PO00039,SUP0048,2023-12-14,2023-12-29,44971.32,Approved,EMP0134,TND,Dubai-Jebel Ali
PO00040,SUP0071,2024-07-22,2024-09-14,9701.56,Received,EMP0004,TND,New York-NJ
PO00041,SUP0104,2024-06-30,2024-08-28,130201.5,Approved,EMP0030,TND,Madrid-Central
PO00042,SUP0030,2024-12-05,2025-02-01,187572.22,Approved,EMP0104,TND,Paris-CDG
PO00043,SUP0016,2023-12-21,2024-02-07,144436.63,Received,EMP0122,TND,Paris-CDG
PO00044,SUP0009,2022-11-16,2023-01-12,156130.54,Cancelled,EMP0100,TND,Frankfurt-Main
PO00045,SUP0043,2022-08-03,2022-09-01,25261.4,Received,EMP0045,TND,Singapore-Hub
PO00046,SUP0033,2022-07-17,2022-08-26,150778.14,Cancelled,EMP0050,TND,Madrid-Central
PO00047,SUP0005,2022-08-18,2022-10-21,22797.62,Received,EMP0084,TND,Paris-CDG
PO00048,SUP0090,2023-06-06,2023-08-22,38981.43,Approved,EMP0090,TND,Amsterdam-Port
