"  erp_sales_orders  ·  1,000 lignes  ·  9 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
order_id,customer_id,order_date,delivery_date,amount,status,sales_rep_id,currency,notes,delivery_status
SO00001,CUS0046,2024-03-12,2024-04-13,399065.24,Delivered,EMP0002,TND,Expedited shipping,Late
SO00002,CUS0127,2023-08-06,2023-08-31,259264.62,Shipped,EMP0115,TND,,At Risk
SO00003,CUS0184,2024-12-07,2025-01-17,422342.72,Cancelled,EMP0044,TND,Standard delivery,Cancelled
SO00004,CUS0044,2023-04-19,2023-05-25,118063.99,Pending,EMP0085,TND,Expedited shipping,Pending
SO00005,CUS0153,2022-11-09,2023-01-05,413958.73,Confirmed,EMP0035,TND,,Pending
SO00006,CUS0172,2024-07-17,2024-09-05,91453.65,Shipped,EMP0066,TND,Standard delivery,On Time
SO00007,CUS0076,2022-08-18,2022-10-01,337029.47,Confirmed,EMP0141,TND,Pre-payment required,Pending
SO00008,CUS0198,2024-09-29,2024-10-29,149362.33,Pending,EMP0130,TND,,Pending
SO00009,CUS0080,2024-04-02,2024-05-02,302076.23,Delivered,EMP0140,TND,Standard delivery,On Time
SO00010,CUS0122,2022-04-28,2022-06-26,316441.21,Cancelled,EMP0045,TND,Pre-payment required,Cancelled
SO00011,CUS0056,2024-05-27,2024-06-28,208490.03,Cancelled,EMP0134,TND,Expedited shipping,Cancelled
SO00012,CUS0090,2024-09-06,2024-10-06,489144.57,Shipped,EMP0005,TND,Pre-payment required,On Time
SO00013,CUS0140,2023-11-20,2023-12-12,272132.94,Shipped,EMP0010,TND,Standard delivery,At Risk
SO00014,CUS0192,2024-10-20,2024-11-25,484806.61,Cancelled,EMP0149,TND,Standard delivery,Cancelled
SO00015,CUS0030,2023-01-21,2023-02-25,395824.31,Pending,EMP0020,TND,Expedited shipping,Pending
SO00016,CUS0151,2024-01-13,2024-03-05,252660.44,Shipped,EMP0050,TND,Expedited shipping,At Risk
SO00017,CUS0029,2023-04-30,2023-06-27,379894.43,Delivered,EMP0149,TND,Frame agreement order,On Time
SO00018,CUS0005,2023-06-26,2023-07-10,29136.64,Shipped,EMP0104,TND,Standard delivery,At Risk
SO00019,CUS0159,2022-07-05,2022-08-24,103948.68,Confirmed,EMP0084,TND,Expedited shipping,Pending
SO00020,CUS0112,2022-01-15,2022-02-01,493177.6,Delivered,EMP0014,TND,,Late
SO00021,CUS0020,2023-03-01,2023-04-01,372904.37,Confirmed,EMP0099,TND,Frame agreement order,Pending
SO00022,CUS0060,2023-04-10,2023-04-24,192674.38,Shipped,EMP0014,TND,,On Time
SO00023,CUS0049,2022-11-16,2022-11-29,8861.8,Delivered,EMP0022,TND,Frame agreement order,Late
SO00024,CUS0155,2022-09-05,2022-11-01,293130.84,Shipped,EMP0120,TND,Pre-payment required,On Time
SO00025,CUS0086,2022-04-05,2022-05-30,59516.43,Cancelled,EMP0093,TND,Standard delivery,Cancelled
SO00026,CUS0154,2022-05-31,2022-07-22,10749.22,Shipped,EMP0106,TND,Frame agreement order,On Time
SO00027,CUS0164,2023-04-22,2023-05-21,82862.37,Delivered,EMP0058,TND,Pre-payment required,On Time
SO00028,CUS0023,2024-01-26,2024-03-03,400888.49,Confirmed,EMP0093,TND,Expedited shipping,Pending
SO00029,CUS0029,2023-06-25,2023-07-17,327819.28,Pending,EMP0039,TND,Expedited shipping,Pending
SO00030,CUS0194,2024-12-15,2025-01-15,242073.88,Pending,EMP0014,TND,Frame agreement order,Pending
SO00031,CUS0084,2024-04-28,2024-06-21,214598.53,Confirmed,EMP0076,TND,,Pending
SO00032,CUS0050,2022-12-10,2023-01-09,442392.29,Delivered,EMP0114,TND,Pre-payment required,On Time
SO00033,CUS0171,2022-06-16,2022-07-12,292088.36,Shipped,EMP0121,TND,Standard delivery,On Time
SO00034,CUS0087,2024-10-17,2024-11-05,79823.61,Delivered,EMP0127,TND,Pre-payment required,Late
SO00035,CUS0101,2022-12-01,2022-12-15,161374.69,Delivered,EMP0134,TND,,Late
SO00036,CUS0153,2024-12-09,2025-02-05,358530.2,Delivered,EMP0142,TND,Expedited shipping,On Time
SO00037,CUS0123,2022-07-22,2022-08-04,162037.98,Pending,EMP0024,TND,Standard delivery,Pending
SO00038,CUS0042,2023-06-13,2023-08-05,135231.72,Confirmed,EMP0075,TND,,Pending
SO00039,CUS0094,2023-10-01,2023-10-27,483245.75,Delivered,EMP0056,TND,Standard delivery,Late
SO00040,CUS0114,2023-02-22,2023-03-05,461929.11,Delivered,EMP0068,TND,Standard delivery,Late
SO00041,CUS0175,2022-01-02,2022-02-04,204132.2,Shipped,EMP0080,TND,Pre-payment required,On Time
SO00042,CUS0139,2022-04-20,2022-05-19,240415.06,Pending,EMP0050,TND,Pre-payment required,Pending
SO00043,CUS0032,2022-01-16,2022-03-05,490334.96,Pending,EMP0127,TND,Frame agreement order,Pending
SO00044,CUS0119,2022-07-02,2022-07-10,196541.49,Confirmed,EMP0010,TND,Standard delivery,Pending
SO00045,CUS0173,2022-08-01,2022-08-16,228707.74,Cancelled,EMP0057,TND,Standard delivery,Cancelled
SO00046,CUS0162,2024-12-05,2025-02-03,326738.63,Delivered,EMP0042,TND,Standard delivery,On Time
SO00047,CUS0082,2023-05-16,2023-06-22,295630,Shipped,EMP0109,TND,Pre-payment required,At Risk
SO00048,CUS0008,2022-01-26,2022-02-06,287019.51,Shipped,EMP0075,TND,Expedited shipping,On Time
SO00049,CUS0186,2024-03-27,2024-04-06,356255.78,Delivered,EMP0142,TND,Expedited shipping,On Time
SO00050,CUS0020,2023-08-19,2023-09-02,213467.16,Shipped,EMP0053,TND,Pre-payment required,At Risk
SO00051,CUS0078,2022-12-20,2023-02-07,355145.14,Pending,EMP0032,TND,Pre-payment required,Pending
