  hr_employee_projects  ·  300 lignes  ·  7 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
assignment_id,employee_id,project_id,role,allocation_pct,start_date,end_date
ASG0001,EMP0025,PRJ0041,Lead,100,2024-01-19,2025-01-29
ASG0002,EMP0097,PRJ0060,Reviewer,50,2021-07-07,2022-02-19
ASG0003,EMP0108,PRJ0009,Reviewer,50,2022-08-29,2023-04-26
ASG0004,EMP0127,PRJ0031,Lead,75,2024-12-17,2025-12-04
ASG0005,EMP0023,PRJ0006,Architect,25,2021-02-02,2021-03-31
ASG0006,EMP0046,PRJ0042,Reviewer,25,2023-03-16,2023-07-27
ASG0007,EMP0083,PRJ0043,Support,75,2024-04-21,2025-02-14
ASG0008,EMP0092,PRJ0026,Contributor,75,2022-06-29,2022-10-13
ASG0009,EMP0126,PRJ0022,Lead,100,2022-03-16,2022-12-21
ASG0010,EMP0150,PRJ0060,Lead,75,2021-05-24,2021-10-19
ASG0011,EMP0114,PRJ0012,Support,75,2023-01-04,2023-08-19
ASG0012,EMP0058,PRJ0058,Support,50,2022-03-03,2022-08-11
ASG0013,EMP0050,PRJ0055,Architect,25,2022-09-22,2023-09-03
ASG0014,EMP0016,PRJ0002,Lead,50,2021-03-05,2021-08-10
ASG0015,EMP0046,PRJ0002,QA Lead,50,2021-05-28,2022-02-12
ASG0016,EMP0119,PRJ0025,Support,100,2021-02-27,2021-06-05
ASG0017,EMP0096,PRJ0043,Reviewer,100,2024-04-07,2025-02-09
ASG0018,EMP0121,PRJ0019,Lead,25,2022-09-03,2022-12-08
ASG0019,EMP0129,PRJ0020,Reviewer,50,2023-10-24,2024-01-09
ASG0020,EMP0124,PRJ0048,QA Lead,100,2021-12-26,2022-06-03
ASG0021,EMP0039,PRJ0005,Architect,75,2024-12-24,2025-02-20
ASG0022,EMP0074,PRJ0056,Architect,25,2023-08-27,2024-01-07
ASG0023,EMP0111,PRJ0031,Support,25,2021-08-15,2022-08-02
ASG0024,EMP0107,PRJ0034,QA Lead,25,2022-08-27,2023-08-16
ASG0025,EMP0040,PRJ0025,SME,50,2022-04-28,2023-01-14
ASG0026,EMP0079,PRJ0006,Reviewer,75,2022-09-20,2022-10-21
ASG0027,EMP0120,PRJ0016,Contributor,25,2022-03-09,2023-02-10
ASG0028,EMP0134,PRJ0031,Contributor,50,2021-04-06,2022-05-01
ASG0029,EMP0071,PRJ0054,Architect,75,2021-12-15,2022-04-03
ASG0030,EMP0128,PRJ0004,Architect,100,2022-08-22,2023-08-08
ASG0031,EMP0060,PRJ0018,Reviewer,100,2022-09-19,2023-02-03
ASG0032,EMP0076,PRJ0025,Support,75,2022-06-19,2023-05-06
ASG0033,EMP0111,PRJ0055,Architect,25,2022-11-24,2023-04-30
ASG0034,EMP0026,PRJ0006,Lead,75,2021-01-30,2021-05-05
ASG0035,EMP0043,PRJ0047,QA Lead,25,2021-06-01,2021-12-27
ASG0036,EMP0150,PRJ0023,Architect,25,2024-01-13,2024-05-05
ASG0037,EMP0051,PRJ0028,Architect,100,2024-02-23,2024-10-06
ASG0038,EMP0009,PRJ0033,Architect,50,2024-09-07,2025-02-02
ASG0039,EMP0038,PRJ0016,Lead,25,2023-01-31,2023-07-06
ASG0040,EMP0150,PRJ0022,Contributor,50,2024-12-25,2025-07-08
ASG0041,EMP0068,PRJ0037,QA Lead,75,2024-10-29,2025-06-01
ASG0042,EMP0116,PRJ0002,Lead,100,2022-03-05,2022-10-26
ASG0043,EMP0140,PRJ0043,Lead,25,2021-07-30,2022-07-29
ASG0044,EMP0055,PRJ0054,Reviewer,100,2021-11-21,2022-01-17
ASG0045,EMP0124,PRJ0013,Architect,25,2021-04-27,2021-10-23
ASG0046,EMP0021,PRJ0018,Contributor,100,2022-01-05,2022-08-06
ASG0047,EMP0113,PRJ0018,Reviewer,75,2024-12-22,2025-07-31
ASG0048,EMP0032,PRJ0029,QA Lead,50,2022-04-20,2022-05-22
ASG0049,EMP0018,PRJ0027,SME,75,2022-11-25,2023-09-10
ASG0050,EMP0117,PRJ0026,Support,25,2023-01-26,2023-09-03
ASG0051,EMP0145,PRJ0005,Support,75,2023-05-12,2023-11-29
ASG0052,EMP0024,PRJ0051,Contributor,100,2023-06-18,2023-11-23
ASG0053,EMP0040,PRJ0005,Support,25,2022-03-20,2022-06-16
ASG0054,EMP0123,PRJ0056,Reviewer,100,2021-07-10,2021-10-29
ASG0055,EMP0045,PRJ0053,Contributor,75,2024-10-14,2025-05-01
ASG0056,EMP0052,PRJ0007,Support,75,2024-03-01,2024-05-11
ASG0057,EMP0099,PRJ0019,QA Lead,25,2022-08-19,2023-06-25
ASG0058,EMP0004,PRJ0051,Reviewer,25,2022-11-14,2022-12-28
ASG0059,EMP0133,PRJ0021,Architect,25,2022-04-06,2023-04-11
ASG0060,EMP0070,PRJ0050,Lead,100,2021-11-23,2022-11-03
ASG0061,EMP0102,PRJ0045,SME,25,2021-08-08,2022-07-26
ASG0062,EMP0119,PRJ0038,QA Lead,100,2024-01-15,2024-07-31
ASG0063,EMP0148,PRJ0045,Contributor,25,2021-06-13,2021-09-04
ASG0064,EMP0143,PRJ0057,Lead,100,2023-10-21,2024-08-11
ASG0065,EMP0020,PRJ0022,Reviewer,25,2023-07-06,2024-03-08
ASG0066,EMP0125,PRJ0005,Reviewer,100,2023-05-18,2024-02-13
ASG0067,EMP0013,PRJ0044,Architect,100,2024-03-24,2024-11-29
ASG0068,EMP0127,PRJ0052,Architect,75,2024-01-25,2024-04-24
ASG0069,EMP0109,PRJ0036,Lead,50,2021-12-31,2022-11-11
ASG0070,EMP0095,PRJ0010,Architect,75,2024-09-02,2025-05-29
ASG0071,EMP0077,PRJ0052,Lead,75,2021-05-04,2021-10-28
ASG0072,EMP0022,PRJ0043,Lead,100,2023-01-24,2023-11-13
ASG0073,EMP0150,PRJ0036,Lead,25,2022-11-28,2023-10-02
ASG0074,EMP0142,PRJ0042,Lead,100,2021-07-06,2022-07-18
ASG0075,EMP0126,PRJ0055,Support,50,2024-01-01,2024-06-18
ASG0076,EMP0131,PRJ0004,QA Lead,75,2024-02-20,2024-05-19
ASG0077,EMP0065,PRJ0040,QA Lead,100,2023-04-07,2023-12-24
ASG0078,EMP0096,PRJ0030,Lead,100,2024-09-11,2025-07-30
ASG0079,EMP0082,PRJ0019,Contributor,50,2021-02-19,2021-05-08
ASG0080,EMP0052,PRJ0049,Contributor,100,2022-08-12,2023-06-24
ASG0081,EMP0051,PRJ0040,QA Lead,100,2024-09-01,2025-07-28
ASG0082,EMP0089,PRJ0030,Contributor,75,2021-07-14,2022-04-07
ASG0083,EMP0006,PRJ0003,Support,75,2021-08-06,2022-03-01
ASG0084,EMP0017,PRJ0041,Contributor,75,2021-10-26,2022-10-13
ASG0085,EMP0016,PRJ0012,Architect,100,2022-03-29,2023-01-27
ASG0086,EMP0049,PRJ0003,Architect,25,2022-02-20,2022-08-20
ASG0087,EMP0120,PRJ0026,Reviewer,25,2021-04-16,2022-03-05
ASG0088,EMP0102,PRJ0056,Contributor,100,2024-12-02,2025-03-15
ASG0089,EMP0145,PRJ0011,Reviewer,75,2021-11-05,2022-03-18
ASG0090,EMP0114,PRJ0028,Lead,25,2021-12-11,2023-01-15
ASG0091,EMP0145,PRJ0036,Contributor,50,2023-01-07,2024-02-07
ASG0092,EMP0114,PRJ0009,QA Lead,50,2023-06-19,2023-08-08
ASG0093,EMP0111,PRJ0026,Reviewer,75,2023-08-07,2024-06-29
ASG0094,EMP0004,PRJ0024,Support,50,2024-03-28,2024-05-05
ASG0095,EMP0062,PRJ0030,SME,50,2022-10-25,2023-07-23
ASG0096,EMP0066,PRJ0024,Lead,50,2024-11-12,2024-12-14
ASG0097,EMP0103,PRJ0036,Architect,75,2021-10-12,2022-08-02
ASG0098,EMP0032,PRJ0055,Lead,75,2023-06-25,2024-05-16
ASG0099,EMP0108,PRJ0032,Architect,75,2021-11-02,2022-02-09
ASG0100,EMP0115,PRJ0047,QA Lead,25,2024-06-23,2025-05-18
ASG0101,EMP0018,PRJ0028,Support,25,2022-03-11,2022-04-28
ASG0102,EMP0069,PRJ0049,Contributor,25,2023-07-06,2023-10-29
ASG0103,EMP0136,PRJ0060,Architect,50,2024-01-07,2024-05-25
ASG0104,EMP0149,PRJ0029,QA Lead,100,2024-02-27,2024-03-29
ASG0105,EMP0144,PRJ0057,Support,25,2023-06-21,2023-08-25
ASG0106,EMP0081,PRJ0043,SME,75,2021-12-11,2022-12-27
ASG0107,EMP0045,PRJ0018,Contributor,25,2022-08-04,2022-09-25
ASG0108,EMP0033,PRJ0040,Contributor,50,2024-03-20,2024-06-06
ASG0109,EMP0006,PRJ0058,Support,100,2022-03-16,2023-03-15
ASG0110,EMP0068,PRJ0053,Lead,50,2021-03-14,2021-10-04
ASG0111,EMP0068,PRJ0010,Lead,50,2023-10-15,2024-01-08
ASG0112,EMP0132,PRJ0055,Architect,25,2021-09-07,2022-02-05
ASG0113,EMP0072,PRJ0013,Support,25,2021-03-02,2021-09-02
ASG0114,EMP0139,PRJ0051,SME,50,2024-02-02,2024-03-24
ASG0115,EMP0085,PRJ0048,Reviewer,25,2022-09-22,2023-07-30
ASG0116,EMP0034,PRJ0060,SME,75,2023-10-09,2024-10-24
ASG0117,EMP0140,PRJ0052,Support,75,2024-12-24,2025-11-02
ASG0118,EMP0025,PRJ0039,Reviewer,75,2023-10-08,2024-06-07
ASG0119,EMP0113,PRJ0017,Contributor,50,2024-01-25,2024-05-31
ASG0120,EMP0044,PRJ0051,Support,75,2024-01-06,2024-04-29
ASG0121,EMP0086,PRJ0001,Support,75,2022-09-13,2023-06-06
ASG0122,EMP0024,PRJ0060,QA Lead,100,2024-11-27,2025-05-25
ASG0123,EMP0036,PRJ0025,QA Lead,75,2023-01-12,2023-03-10
ASG0124,EMP0105,PRJ0028,Contributor,75,2021-06-23,2022-01-15
ASG0125,EMP0007,PRJ0006,Support,25,2021-05-24,2021-08-13
ASG0126,EMP0041,PRJ0052,Reviewer,25,2024-07-28,2025-06-06
ASG0127,EMP0027,PRJ0007,Support,25,2024-11-15,2025-08-05
ASG0128,EMP0102,PRJ0012,Lead,100,2021-07-27,2022-07-04
ASG0129,EMP0042,PRJ0027,Lead,100,2022-01-06,2022-11-19
ASG0130,EMP0070,PRJ0031,SME,25,2022-01-05,2022-04-25
ASG0131,EMP0013,PRJ0025,Lead,75,2022-02-04,2022-04-09
ASG0132,EMP0009,PRJ0059,Contributor,75,2024-04-26,2024-10-04
ASG0133,EMP0055,PRJ0012,Reviewer,75,2024-04-13,2024-05-15
