  hr_leave_requests  ·  200 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
leave_id,employee_id,leave_type,start_date,end_date,days_requested,status,approved_by,request_date,notes
LVE0001,EMP0025,Unpaid Leave,2023-07-19,2023-07-20,1,Pending,EMP0009,2023-07-11,Personal reasons
LVE0002,EMP0052,Training Leave,2022-02-11,2022-02-20,9,Rejected,EMP0007,2022-01-25,Annual family trip
LVE0003,EMP0049,Unpaid Leave,2022-07-27,2022-08-11,15,Approved,EMP0010,2022-07-07,
LVE0004,EMP0092,Sick Leave,2023-12-20,2024-01-11,22,Approved,EMP0010,2023-11-23,
LVE0005,EMP0064,Maternity Leave,2022-06-14,2022-06-17,3,Approved,EMP0010,2022-05-21,
LVE0006,EMP0141,Training Leave,2022-10-11,2022-10-25,14,Approved,EMP0013,2022-09-23,Planned vacation
LVE0007,EMP0045,Paternity Leave,2023-03-25,2023-04-05,11,Approved,EMP0018,2023-03-12,
LVE0008,EMP0140,Maternity Leave,2024-04-19,2024-05-06,17,Pending,EMP0001,2024-03-21,Personal reasons
LVE0009,EMP0104,Training Leave,2023-07-04,2023-07-15,11,Rejected,EMP0009,2023-06-13,
LVE0010,EMP0096,Paternity Leave,2023-03-17,2023-03-20,3,Rejected,EMP0019,2023-02-25,Medical appointment
LVE0011,EMP0063,Training Leave,2022-08-01,2022-08-07,6,Rejected,EMP0009,2022-07-17,
LVE0012,EMP0056,Annual Leave,2023-06-07,2023-06-27,20,Pending,EMP0018,2023-05-22,Medical appointment
LVE0013,EMP0068,Maternity Leave,2024-07-19,2024-08-05,17,Rejected,EMP0002,2024-06-19,Annual family trip
LVE0014,EMP0123,Paternity Leave,2023-04-24,2023-04-26,2,Approved,EMP0010,2023-03-28,Personal reasons
LVE0015,EMP0009,Unpaid Leave,2023-11-07,2023-11-29,22,Rejected,EMP0005,2023-10-14,Personal reasons
LVE0016,EMP0020,Training Leave,2022-01-27,2022-01-30,3,Approved,EMP0015,2022-01-07,Planned vacation
LVE0017,EMP0131,Annual Leave,2022-05-18,2022-05-20,2,Rejected,EMP0020,2022-04-24,
LVE0018,EMP0136,Annual Leave,2023-03-25,2023-04-10,16,Approved,EMP0004,2023-03-17,Medical appointment
LVE0019,EMP0131,Unpaid Leave,2024-07-29,2024-07-30,1,Rejected,EMP0009,2024-07-14,
LVE0020,EMP0081,Sick Leave,2023-06-03,2023-06-12,9,Rejected,EMP0005,2023-05-16,Personal reasons
LVE0021,EMP0023,Unpaid Leave,2024-08-20,2024-08-25,5,Approved,EMP0019,2024-07-23,Medical appointment
LVE0022,EMP0002,Training Leave,2022-06-05,2022-06-08,3,Pending,EMP0012,2022-05-06,
LVE0023,EMP0091,Training Leave,2022-09-28,2022-10-11,13,Rejected,EMP0005,2022-09-19,Personal reasons
LVE0024,EMP0023,Maternity Leave,2023-12-01,2023-12-13,12,Pending,EMP0006,2023-11-03,
LVE0025,EMP0137,Training Leave,2022-01-01,2022-01-02,1,Rejected,EMP0017,2021-12-05,Personal reasons
LVE0026,EMP0028,Maternity Leave,2024-05-12,2024-05-22,10,Approved,EMP0015,2024-04-21,Annual family trip
LVE0027,EMP0130,Maternity Leave,2022-11-24,2022-11-30,6,Pending,EMP0014,2022-10-30,
LVE0028,EMP0072,Training Leave,2023-01-24,2023-01-27,3,Approved,EMP0012,2023-01-08,Planned vacation
LVE0029,EMP0012,Unpaid Leave,2022-05-28,2022-06-21,24,Pending,EMP0007,2022-05-17,Personal reasons
LVE0030,EMP0019,Training Leave,2024-05-02,2024-05-25,23,Rejected,EMP0020,2024-04-02,
LVE0031,EMP0121,Paternity Leave,2023-05-01,2023-05-16,15,Approved,EMP0003,2023-04-21,
LVE0032,EMP0050,Paternity Leave,2022-12-15,2022-12-26,11,Rejected,EMP0011,2022-11-20,Annual family trip
LVE0033,EMP0140,Maternity Leave,2023-03-03,2023-03-14,11,Approved,EMP0012,2023-02-03,
LVE0034,EMP0071,Annual Leave,2023-08-29,2023-09-17,19,Rejected,EMP0001,2023-08-07,Medical appointment
LVE0035,EMP0035,Sick Leave,2024-06-02,2024-06-18,16,Rejected,EMP0015,2024-05-07,Planned vacation
LVE0036,EMP0135,Training Leave,2022-06-16,2022-06-20,4,Approved,EMP0004,2022-05-17,
LVE0037,EMP0009,Maternity Leave,2024-06-18,2024-07-01,13,Rejected,EMP0019,2024-05-31,Medical appointment
LVE0038,EMP0012,Maternity Leave,2024-08-06,2024-08-31,25,Approved,EMP0012,2024-07-23,
LVE0039,EMP0105,Training Leave,2024-06-16,2024-07-01,15,Rejected,EMP0014,2024-05-25,
LVE0040,EMP0096,Maternity Leave,2023-05-27,2023-06-01,5,Rejected,EMP0013,2023-05-08,
LVE0041,EMP0046,Training Leave,2024-09-22,2024-09-23,1,Rejected,EMP0016,2024-09-09,Personal reasons
LVE0042,EMP0141,Annual Leave,2022-09-18,2022-09-25,7,Pending,EMP0015,2022-09-08,Annual family trip
LVE0043,EMP0112,Sick Leave,2022-08-26,2022-09-08,13,Rejected,EMP0013,2022-07-29,Personal reasons
LVE0044,EMP0047,Paternity Leave,2024-12-05,2024-12-26,21,Approved,EMP0009,2024-11-23,Planned vacation
LVE0045,EMP0068,Sick Leave,2022-05-01,2022-05-22,21,Pending,EMP0018,2022-04-14,
LVE0046,EMP0101,Annual Leave,2023-08-20,2023-08-30,10,Rejected,EMP0013,2023-07-28,Planned vacation
LVE0047,EMP0062,Sick Leave,2023-11-11,2023-11-28,17,Approved,EMP0020,2023-11-02,
LVE0048,EMP0009,Maternity Leave,2023-04-15,2023-04-22,7,Pending,EMP0005,2023-04-05,Personal reasons
LVE0049,EMP0077,Unpaid Leave,2023-10-29,2023-11-05,7,Rejected,EMP0012,2023-10-09,Medical appointment
LVE0050,EMP0004,Maternity Leave,2023-12-18,2024-01-11,24,Pending,EMP0014,2023-12-06,Medical appointment
LVE0051,EMP0080,Unpaid Leave,2022-02-20,2022-03-17,25,Rejected,EMP0010,2022-02-10,Personal reasons
LVE0052,EMP0109,Unpaid Leave,2023-03-18,2023-03-21,3,Rejected,EMP0013,2023-03-02,
LVE0053,EMP0014,Annual Leave,2024-09-24,2024-09-26,2,Approved,EMP0008,2024-09-03,Planned vacation
LVE0054,EMP0113,Maternity Leave,2022-02-02,2022-02-11,9,Approved,EMP0004,2022-01-22,
LVE0055,EMP0102,Annual Leave,2022-03-22,2022-04-05,14,Pending,EMP0017,2022-03-15,
LVE0056,EMP0002,Sick Leave,2023-10-30,2023-11-13,14,Rejected,EMP0018,2023-10-02,Planned vacation
LVE0057,EMP0128,Annual Leave,2022-07-18,2022-08-08,21,Rejected,EMP0017,2022-06-25,
LVE0058,EMP0071,Sick Leave,2024-06-17,2024-06-22,5,Approved,EMP0016,2024-05-31,Annual family trip
LVE0059,EMP0144,Unpaid Leave,2022-02-06,2022-03-03,25,Pending,EMP0015,2022-01-26,Annual family trip
LVE0060,EMP0109,Paternity Leave,2024-02-16,2024-03-07,20,Pending,EMP0008,2024-02-01,Planned vacation
LVE0061,EMP0112,Annual Leave,2023-10-08,2023-10-25,17,Approved,EMP0011,2023-09-09,
LVE0062,EMP0096,Training Leave,2022-04-02,2022-04-19,17,Pending,EMP0009,2022-03-08,
LVE0063,EMP0100,Maternity Leave,2023-08-20,2023-09-12,23,Approved,EMP0014,2023-07-29,Planned vacation
LVE0064,EMP0037,Paternity Leave,2022-12-12,2022-12-16,4,Approved,EMP0020,2022-11-25,Annual family trip
LVE0065,EMP0124,Annual Leave,2024-04-11,2024-04-14,3,Rejected,EMP0014,2024-03-20,
LVE0066,EMP0062,Unpaid Leave,2024-05-31,2024-06-17,17,Rejected,EMP0016,2024-05-20,
LVE0067,EMP0112,Maternity Leave,2022-05-19,2022-06-13,25,Rejected,EMP0011,2022-05-04,Personal reasons
LVE0068,EMP0057,Sick Leave,2022-06-10,2022-06-18,8,Rejected,EMP0011,2022-05-17,
LVE0069,EMP0065,Training Leave,2024-04-15,2024-04-22,7,Approved,EMP0008,2024-04-08,
LVE0070,EMP0062,Paternity Leave,2023-09-14,2023-10-06,22,Approved,EMP0012,2023-08-18,Personal reasons
LVE0071,EMP0086,Sick Leave,2022-08-24,2022-09-15,22,Rejected,EMP0020,2022-07-27,Annual family trip
LVE0072,EMP0143,Annual Leave,2022-01-16,2022-01-27,11,Rejected,EMP0016,2021-12-18,Personal reasons
LVE0073,EMP0001,Maternity Leave,2022-12-05,2022-12-15,10,Pending,EMP0013,2022-11-26,
LVE0074,EMP0112,Unpaid Leave,2022-05-11,2022-05-13,2,Rejected,EMP0003,2022-04-16,Medical appointment
LVE0075,EMP0097,Annual Leave,2024-11-05,2024-11-08,3,Rejected,EMP0020,2024-10-23,
LVE0076,EMP0139,Paternity Leave,2022-11-01,2022-11-20,19,Pending,EMP0007,2022-10-12,Personal reasons
LVE0077,EMP0092,Annual Leave,2022-08-20,2022-08-30,10,Rejected,EMP0003,2022-07-27,
LVE0078,EMP0093,Annual Leave,2024-09-09,2024-09-27,18,Approved,EMP0015,2024-08-24,
LVE0079,EMP0020,Sick Leave,2023-02-20,2023-03-05,13,Pending,EMP0003,2023-02-04,Annual family trip
LVE0080,EMP0135,Training Leave,2024-03-03,2024-03-07,4,Rejected,EMP0003,2024-02-21,Medical appointment
LVE0081,EMP0041,Annual Leave,2022-05-10,2022-05-21,11,Approved,EMP0003,2022-04-13,
LVE0082,EMP0140,Paternity Leave,2023-05-07,2023-05-14,7,Approved,EMP0001,2023-04-29,
LVE0083,EMP0061,Unpaid Leave,2024-03-02,2024-03-04,2,Approved,EMP0017,2024-02-06,Personal reasons
LVE0084,EMP0059,Paternity Leave,2024-01-05,2024-01-20,15,Rejected,EMP0015,2023-12-18,Personal reasons
LVE0085,EMP0027,Annual Leave,2023-08-31,2023-09-21,21,Rejected,EMP0019,2023-08-15,Medical appointment
LVE0086,EMP0123,Sick Leave,2022-10-10,2022-10-12,2,Pending,EMP0020,2022-09-25,
LVE0087,EMP0127,Paternity Leave,2022-01-13,2022-01-20,7,Pending,EMP0019,2021-12-28,
LVE0088,EMP0061,Annual Leave,2022-06-13,2022-06-20,7,Rejected,EMP0017,2022-05-29,
LVE0089,EMP0040,Unpaid Leave,2023-10-17,2023-10-29,12,Approved,EMP0012,2023-09-30,Medical appointment
LVE0090,EMP0044,Training Leave,2023-06-08,2023-06-13,5,Pending,EMP0003,2023-05-24,
LVE0091,EMP0101,Unpaid Leave,2023-04-27,2023-05-22,25,Approved,EMP0005,2023-04-09,Medical appointment
LVE0092,EMP0111,Annual Leave,2024-12-17,2025-01-11,25,Approved,EMP0007,2024-11-17,Annual family trip
LVE0093,EMP0090,Paternity Leave,2023-03-14,2023-03-15,1,Approved,EMP0008,2023-03-04,
LVE0094,EMP0063,Paternity Leave,2022-09-11,2022-10-03,22,Approved,EMP0007,2022-08-13,Personal reasons
LVE0095,EMP0014,Training Leave,2024-08-19,2024-09-11,23,Approved,EMP0004,2024-08-06,
LVE0096,EMP0046,Unpaid Leave,2024-01-29,2024-02-22,24,Approved,EMP0003,2024-01-19,
LVE0097,EMP0150,Annual Leave,2022-08-01,2022-08-18,17,Rejected,EMP0018,2022-07-19,
LVE0098,EMP0124,Training Leave,2022-04-11,2022-04-28,17,Rejected,EMP0007,2022-03-28,Annual family trip
LVE0099,EMP0017,Sick Leave,2022-04-06,2022-04-26,20,Rejected,EMP0020,2022-03-28,
LVE0100,EMP0042,Annual Leave,2024-05-15,2024-05-16,1,Rejected,EMP0005,2024-04-21,Planned vacation
LVE0101,EMP0130,Unpaid Leave,2024-04-13,2024-05-05,22,Approved,EMP0018,2024-04-03,Medical appointment
LVE0102,EMP0082,Unpaid Leave,2023-04-29,2023-05-06,7,Rejected,EMP0014,2023-04-17,Planned vacation
LVE0103,EMP0130,Unpaid Leave,2023-05-24,2023-06-05,12,Rejected,EMP0001,2023-05-06,Planned vacation
LVE0104,EMP0116,Paternity Leave,2024-12-10,2025-01-04,25,Rejected,EMP0019,2024-11-20,Planned vacation
LVE0105,EMP0105,Training Leave,2022-03-16,2022-03-31,15,Pending,EMP0019,2022-03-08,Annual family trip
LVE0106,EMP0108,Maternity Leave,2023-07-27,2023-08-06,10,Pending,EMP0006,2023-07-14,
LVE0107,EMP0136,Unpaid Leave,2023-12-07,2023-12-26,19,Rejected,EMP0013,2023-11-22,Planned vacation
LVE0108,EMP0150,Sick Leave,2023-07-14,2023-07-15,1,Rejected,EMP0016,2023-07-07,Annual family trip
LVE0109,EMP0096,Maternity Leave,2022-03-24,2022-04-09,16,Approved,EMP0005,2022-02-25,Medical appointment
LVE0110,EMP0078,Paternity Leave,2022-03-17,2022-03-20,3,Pending,EMP0018,2022-02-20,Planned vacation
LVE0111,EMP0049,Unpaid Leave,2023-03-01,2023-03-14,13,Rejected,EMP0020,2023-02-19,Medical appointment
