  hr_project_milestones  ·  480 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
milestone_id,project_id,milestone_name,due_date,completion_pct,status,owner_id,budget_allocated,actual_cost,notes
MS00001,PRJ0001,Kickoff & Requirements,2024-10-13,100,Completed,EMP0112,12805.3,12377.71,
MS00002,PRJ0001,Design & Architecture,2024-11-05,34,Delayed,EMP0003,38415.9,,
MS00003,PRJ0001,Development Phase 1,2024-12-05,44,Delayed,EMP0014,51221.2,,Dependency on external vendor
MS00004,PRJ0001,Development Phase 2,2025-01-05,100,Completed,EMP0082,51221.2,52039.3,
MS00005,PRJ0001,Testing & QA,2025-01-28,100,Completed,EMP0057,38415.9,33086.81,
MS00006,PRJ0001,UAT & Client Review,2025-02-12,100,Completed,EMP0101,25610.6,30436.05,Resource bottleneck
MS00007,PRJ0001,Go-Live & Deployment,2025-02-20,100,Completed,EMP0024,12805.3,11381.79,Dependency on external vendor
MS00008,PRJ0001,Project Closure,2025-02-28,29,Delayed,EMP0034,12805.3,,Dependency on external vendor
MS00009,PRJ0002,Kickoff & Requirements,2023-07-16,0,Cancelled,EMP0147,51562.51,,
MS00010,PRJ0002,Design & Architecture,2023-09-20,0,Cancelled,EMP0103,154687.54,,Dependency on external vendor
MS00011,PRJ0002,Development Phase 1,2023-12-16,0,Cancelled,EMP0129,206250.05,,Client approval pending
MS00012,PRJ0002,Development Phase 2,2024-03-12,100,Completed,EMP0034,206250.05,227867.77,Client approval pending
MS00013,PRJ0002,Testing & QA,2024-05-16,0,Cancelled,EMP0125,154687.54,,Client approval pending
MS00014,PRJ0002,UAT & Client Review,2024-06-29,0,Cancelled,EMP0051,103125.02,,Resource bottleneck
MS00015,PRJ0002,Go-Live & Deployment,2024-07-21,0,Cancelled,EMP0135,51562.51,,
MS00016,PRJ0002,Project Closure,2024-08-12,0,Cancelled,EMP0069,51562.51,,Client approval pending
MS00017,PRJ0003,Kickoff & Requirements,2023-02-26,100,Completed,EMP0083,97500.9,104705.75,Resource bottleneck
MS00018,PRJ0003,Design & Architecture,2023-05-07,100,Completed,EMP0023,292502.7,247168.28,Client approval pending
MS00019,PRJ0003,Development Phase 1,2023-08-09,100,Completed,EMP0109,390003.61,368985.16,
MS00020,PRJ0003,Development Phase 2,2023-11-12,100,Completed,EMP0083,390003.61,365749.27,
MS00021,PRJ0003,Testing & QA,2024-01-21,100,Completed,EMP0007,292502.7,324055.71,
MS00022,PRJ0003,UAT & Client Review,2024-03-08,100,Completed,EMP0090,195001.8,204067.12,Client approval pending
MS00023,PRJ0003,Go-Live & Deployment,2024-04-01,100,Completed,EMP0038,97500.9,95178.95,
MS00024,PRJ0003,Project Closure,2024-04-25,100,Completed,EMP0052,97500.9,104729.98,
MS00025,PRJ0004,Kickoff & Requirements,2023-01-06,74,Delayed,EMP0022,89110.45,,
MS00026,PRJ0004,Design & Architecture,2023-01-23,100,Completed,EMP0063,267331.34,315337.73,
MS00027,PRJ0004,Development Phase 1,2023-02-13,72,Delayed,EMP0074,356441.79,,
