  hr_skills  ·  606 lignes  ·  7 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
skill_id,employee_id,skill_name,level,years_experience,certified,last_assessed
SKL00001,EMP0001,Project Management,Intermediate,9,In Progress,2024-10-06
SKL00002,EMP0001,Stakeholder Management,Beginner,5.4,Yes,2024-02-17
SKL00003,EMP0001,Agile,Intermediate,6.3,Yes,2024-10-14
SKL00004,EMP0001,Leadership,Intermediate,8,In Progress,2024-08-02
SKL00005,EMP0001,Budgeting,Intermediate,7.3,Yes,2024-03-22
SKL00006,EMP0002,DevOps,Beginner,1.6,No,2024-11-05
SKL00007,EMP0002,Java,Intermediate,1,No,2024-10-01
SKL00008,EMP0002,Microservices,Intermediate,11.1,Yes,2024-10-09
SKL00009,EMP0002,Azure,Intermediate,7.7,No,2024-10-22
SKL00010,EMP0002,AWS,Intermediate,1.3,In Progress,2024-04-26
SKL00011,EMP0002,Cloud Architecture,Advanced,11.8,Yes,2024-02-21
SKL00012,EMP0003,DevOps,Intermediate,3.6,In Progress,2024-11-27
SKL00013,EMP0003,AWS,Beginner,7.8,In Progress,2024-05-05
SKL00014,EMP0003,Java,Intermediate,4.9,In Progress,2024-12-18
SKL00015,EMP0003,Microservices,Advanced,8.4,Yes,2024-04-27
SKL00016,EMP0003,Python,Expert,9.8,No,2024-05-17
SKL00017,EMP0003,Azure,Beginner,11,In Progress,2024-06-10
SKL00018,EMP0004,Python,Intermediate,2.1,In Progress,2024-10-14
SKL00019,EMP0004,AWS,Advanced,9.1,No,2024-10-25
SKL00020,EMP0004,Java,Intermediate,3,Yes,2024-09-17
SKL00021,EMP0004,Azure,Advanced,9.2,Yes,2024-03-19
SKL00022,EMP0005,Statistics,Intermediate,12,In Progress,2024-05-08
SKL00023,EMP0005,Python,Expert,10.4,Yes,2024-12-14
SKL00024,EMP0005,SQL,Advanced,8.3,In Progress,2024-05-16
SKL00025,EMP0005,Power BI,Advanced,4.4,No,2024-08-10
