  hr_timesheets  ·  887 lignes  ·  12 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
timesheet_id,employee_id,project_id,week_start_date,planned_hours,actual_hours,overtime_hours,billable,status,submitted_by,approved_by,notes
TS000001,EMP0025,PRJ0041,2024-12-11,40,47.6,7.6,Yes,Approved,EMP0025,EMP0027,On-site work
TS000002,EMP0025,PRJ0041,2024-10-24,40,46.4,6.4,Yes,Approved,EMP0025,EMP0008,
TS000003,EMP0025,PRJ0041,2024-05-09,40,40.9,0.9,Yes,Submitted,EMP0025,EMP0140,Overtime due to deadline
TS000004,EMP0097,PRJ0060,2021-09-01,20,24,4,Yes,Approved,EMP0097,EMP0002,
TS000005,EMP0097,PRJ0060,2022-01-01,20,17.9,0,Yes,Submitted,EMP0097,EMP0027,
TS000006,EMP0097,PRJ0060,2021-10-12,20,21.1,1.1,Yes,Submitted,EMP0097,EMP0068,
TS000007,EMP0108,PRJ0009,2023-03-03,20,18.5,0,No,Approved,EMP0108,EMP0076,On-site work
TS000008,EMP0108,PRJ0009,2023-02-03,20,20.4,0.4,No,Approved,EMP0108,EMP0050,On-site work
TS000009,EMP0108,PRJ0009,2022-09-15,20,22.1,2.1,Yes,Approved,EMP0108,EMP0060,
TS000010,EMP0127,PRJ0031,2024-12-23,30,30.9,0.9,Yes,Approved,EMP0127,EMP0094,
TS000011,EMP0127,PRJ0031,2024-12-22,30,25.9,0,Yes,Approved,EMP0127,EMP0019,Client meeting
TS000012,EMP0023,PRJ0006,2021-03-14,10,11.8,1.8,Yes,Submitted,EMP0023,EMP0042,Overtime due to deadline
TS000013,EMP0023,PRJ0006,2021-02-26,10,9.6,0,Yes,Approved,EMP0023,EMP0084,
TS000014,EMP0023,PRJ0006,2021-02-16,10,13.4,3.4,No,Submitted,EMP0023,EMP0103,
TS000015,EMP0046,PRJ0042,2023-03-24,10,10.9,0.9,No,Approved,EMP0046,EMP0128,Overtime due to deadline
TS000016,EMP0046,PRJ0042,2023-07-07,10,13.5,3.5,No,Approved,EMP0046,EMP0068,
TS000017,EMP0046,PRJ0042,2023-04-16,10,9.9,0,Yes,Approved,EMP0046,EMP0150,Overtime due to deadline
TS000018,EMP0083,PRJ0043,2024-07-22,30,24.4,0,Yes,Draft,EMP0083,EMP0131,Overtime due to deadline
TS000019,EMP0083,PRJ0043,2024-05-14,30,30.3,0.3,Yes,Approved,EMP0083,EMP0109,Client meeting
TS000020,EMP0083,PRJ0043,2024-05-07,30,21.1,0,Yes,Approved,EMP0083,EMP0120,Client meeting
TS000021,EMP0092,PRJ0026,2022-07-31,30,38.8,8.8,Yes,Submitted,EMP0092,EMP0138,
TS000022,EMP0092,PRJ0026,2022-10-05,30,28.4,0,Yes,Approved,EMP0092,EMP0112,
TS000023,EMP0092,PRJ0026,2022-08-26,30,37.2,7.2,Yes,Draft,EMP0092,EMP0046,Client meeting
TS000024,EMP0126,PRJ0022,2022-05-09,40,40.2,0.2,No,Approved,EMP0126,EMP0130,Client meeting
TS000025,EMP0126,PRJ0022,2022-06-25,40,45.8,5.8,Yes,Submitted,EMP0126,EMP0136,
TS000026,EMP0126,PRJ0022,2022-08-28,40,48.3,8.3,Yes,Approved,EMP0126,EMP0093,
TS000027,EMP0150,PRJ0060,2021-07-24,30,38.6,8.6,No,Approved,EMP0150,EMP0125,
TS000028,EMP0150,PRJ0060,2021-10-07,30,33.3,3.3,No,Approved,EMP0150,EMP0122,Client meeting
TS000029,EMP0150,PRJ0060,2021-07-05,30,29.1,0,Yes,Approved,EMP0150,EMP0139,On-site work
TS000030,EMP0114,PRJ0012,2023-06-29,30,39.1,9.1,Yes,Approved,EMP0114,EMP0096,Overtime due to deadline
TS000031,EMP0114,PRJ0012,2023-05-16,30,26.8,0,Yes,Approved,EMP0114,EMP0142,
TS000032,EMP0114,PRJ0012,2023-06-03,30,31,1,Yes,Approved,EMP0114,EMP0016,
TS000033,EMP0058,PRJ0058,2022-03-20,20,24.9,4.9,Yes,Approved,EMP0058,EMP0125,
TS000034,EMP0058,PRJ0058,2022-07-19,20,16.7,0,Yes,Draft,EMP0058,EMP0147,Client meeting
TS000035,EMP0058,PRJ0058,2022-07-02,20,20.1,0.1,Yes,Approved,EMP0058,EMP0111,
TS000036,EMP0050,PRJ0055,2023-04-26,10,11.7,1.7,Yes,Submitted,EMP0050,EMP0014,On-site work
TS000037,EMP0050,PRJ0055,2023-08-22,10,10.7,0.7,Yes,Approved,EMP0050,EMP0028,
TS000038,EMP0050,PRJ0055,2022-12-29,10,9.9,0,Yes,Approved,EMP0050,EMP0109,
TS000039,EMP0016,PRJ0002,2021-05-15,20,14.1,0,Yes,Submitted,EMP0016,EMP0141,
TS000040,EMP0016,PRJ0002,2021-03-17,20,21.4,1.4,Yes,Approved,EMP0016,EMP0004,
TS000041,EMP0016,PRJ0002,2021-05-04,20,21.7,1.7,Yes,Approved,EMP0016,EMP0016,
TS000042,EMP0046,PRJ0002,2021-09-02,20,23,3,Yes,Approved,EMP0046,EMP0117,
TS000043,EMP0046,PRJ0002,2021-09-13,20,18.4,0,No,Approved,EMP0046,EMP0125,
